culture_to_battle_animation_tables_tables	0
battle_animations_table	culture_pack
hu1_fire_staff_and_sword	wh_main_chs_chaos
hu12_minotaur_dual_axe	wh_main_chs_chaos
ce1_centigor_spear_and_throwing_axes	wh_main_chs_chaos
ce1_centigor_spear_and_shield	wh_main_chs_chaos
ce1_centigor_2handed_glaive	wh_main_chs_chaos
bc3_manticore	wh_main_chs_chaos
hu3_dwarf_axe_and_shield	wh_main_chs_chaos
hu3_dwarf_2handed_axe	wh_main_chs_chaos
hu3_dwarf_axe_shield_rifle	wh_main_chs_chaos
hu3_dwarf_2handed_axe_and_crossbow	wh_main_chs_chaos
hu3_dragonfire_axe_and_shield	wh_main_chs_chaos
hu3_dwarf_axe_shield_and_blasting_charges	wh_main_chs_chaos
hu5_goblin_sword_and_shield	wh_main_chs_chaos
hu5_goblin_dual_sword	wh_main_chs_chaos
hu5_goblin_sword_bow	wh_main_chs_chaos
hu2_orc_sword_and_shield	wh_main_chs_chaos
hu5_goblin_wf1_wolf_spear_and_shield	wh_main_chs_chaos
hu5_goblin_wf1_wolf_sword_bow	wh_main_chs_chaos
hu1_empire_staff_and_sword	wh_main_chs_chaos
hu2_orc_staff_and_sword	wh_main_chs_chaos
hu3_dwarf_2handed_hammer_and_rifle	wh_main_chs_chaos
wm_cannon01	wh_main_chs_chaos
wm_flame_cannon01	wh_main_chs_chaos
wm_mortar01	wh_main_chs_chaos
wm_bolt_thrower02	wh_main_chs_chaos
hu5_goblin_sword	wh_main_chs_chaos
hu3_dwarf_2handed_axe_ungrim	wh_main_chs_chaos
wm_steam_tank01	wh_main_chs_chaos
wm_steam_tank_turret01	wh_main_chs_chaos
hu1c_chaos_bc3_manticore_wb_sword_and_shield	wh_main_chs_chaos
hu2_orc_dual_swords	wh_main_chs_chaos
hu2_orc_sword_and_axe	wh_main_chs_chaos
hu2_orc_sword_and_shield	wh_main_chs_chaos
hu2_orc_spear_and_shield	wh_main_chs_chaos
hu3_dwarf_dual_axe_slayer	wh_main_chs_chaos
hu3_dwarf_2handed_hammer	wh_main_chs_chaos
hu5_goblin_spear_and_shield	wh_main_chs_chaos
hu3_dwarf_hammer	wh_main_chs_chaos
hu3_dwarf_axe_shield_and_crossbow	wh_main_chs_chaos
hu3_dwarf_trollhammer	wh_main_chs_chaos
bi2_wyvern	wh_main_chs_chaos
hu5_goblin_wf1_wolf_spear_and_shield	wh_main_chs_chaos
