land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
wh_main_unit_passive_frenzy	k'daai_destroyer
wh_dlc06_unit_passive_opportunist_murderer	hobgoblin_sneaky_gits
wh_main_unit_passive_relentless	chaos_dwarf_warriors
wh_main_unit_passive_relentless	chaos_dwarf_warriors_horde
wh_main_unit_passive_relentless	chaos_dwarf_warriors_great_weapons
wh_main_unit_passive_relentless	chaos_dwarf_warriors_rifles
wh_main_unit_passive_relentless	infernal_guard
wh_main_unit_passive_relentless	infernal_guard_great_weapons
wh_main_unit_passive_relentless	immortals
wh_main_unit_passive_relentless	granite_guard
wh_main_unit_passive_relentless	infernal_guard_acolytes
wh_main_unit_passive_relentless	infernal_guard_zealot
wh_dlc08_unit_passive_berserk	infernal_guard_zealot
wh_main_unit_passive_frenzy	bull_centaur_render_great_weapons
wh_main_unit_passive_relentless	infernal_guard_deathmask_naphta
wh_main_unit_passive_regeneration	lava_troll
wh_main_unit_passive_regeneration	magma_beasts
wh_pro04_unit_passive_guardian	bull_centaur_ba'hal_guardians
wh_main_unit_passive_relentless	ironsworn
