character_skill_nodes_skill_locks_tables	0
character_skill	character_skill_node	level
aacdlordrune1	wh_main_skill_node_chs_cd_lord_unique_112	1
aacdlordrune1	wh_main_skill_node_chs_cd_lord_unique_113	1
aacdlordrune1	wh_main_skill_node_chs_cd_lord_unique_114	1
aacdlordrune2	wh_main_skill_node_chs_cd_lord_unique_111	1
aacdlordrune2	wh_main_skill_node_chs_cd_lord_unique_113	1
aacdlordrune2	wh_main_skill_node_chs_cd_lord_unique_114	1
aacdlordrune3	wh_main_skill_node_chs_cd_lord_unique_111	1
aacdlordrune3	wh_main_skill_node_chs_cd_lord_unique_112	1
aacdlordrune3	wh_main_skill_node_chs_cd_lord_unique_114	1
aacdlordrune4	wh_main_skill_node_chs_cd_lord_unique_111	1
aacdlordrune4	wh_main_skill_node_chs_cd_lord_unique_112	1
aacdlordrune4	wh_main_skill_node_chs_cd_lord_unique_113	1
aabullcentuniqskill7	wh_main_skill_node_chs_bull_lord_ranged_32	1
aabullcentuniqskill7	wh_main_skill_node_chs_bull_lord_ranged_33	1
aabullcentuniqskill7	wh_main_skill_node_chs_bull_lord_ranged_34	1
aabullcentuniqskill8	wh_main_skill_node_chs_bull_lord_ranged_31	1
aabullcentuniqskill8	wh_main_skill_node_chs_bull_lord_ranged_33	1
aabullcentuniqskill8	wh_main_skill_node_chs_bull_lord_ranged_34	1
aabullcentuniqskill9	wh_main_skill_node_chs_bull_lord_ranged_31	1
aabullcentuniqskill9	wh_main_skill_node_chs_bull_lord_ranged_32	1
aabullcentuniqskill9	wh_main_skill_node_chs_bull_lord_ranged_34	1
aabullcentuniqskill91	wh_main_skill_node_chs_bull_lord_ranged_31	1
aabullcentuniqskill91	wh_main_skill_node_chs_bull_lord_ranged_32	1
aabullcentuniqskill91	wh_main_skill_node_chs_bull_lord_ranged_33	1
aahobgoblineliteskill1	wh2_main_skill_node_chs_hobgoblin_khan_eliteskill2	1
aahobgoblineliteskill1	wh2_main_skill_node_chs_hobgoblin_khan_eliteskill3	1
aahobgoblineliteskill1	wh2_main_skill_node_chs_hobgoblin_khan_eliteskill4	1
aahobgoblineliteskill2	wh2_main_skill_node_chs_hobgoblin_khan_eliteskill1	1
aahobgoblineliteskill2	wh2_main_skill_node_chs_hobgoblin_khan_eliteskill3	1
aahobgoblineliteskill2	wh2_main_skill_node_chs_hobgoblin_khan_eliteskill4	1
aahobgoblineliteskill3	wh2_main_skill_node_chs_hobgoblin_khan_eliteskill1	1
aahobgoblineliteskill3	wh2_main_skill_node_chs_hobgoblin_khan_eliteskill2	1
aahobgoblineliteskill3	wh2_main_skill_node_chs_hobgoblin_khan_eliteskill4	1
aahobgoblineliteskill4	wh2_main_skill_node_chs_hobgoblin_khan_eliteskill1	1
aahobgoblineliteskill4	wh2_main_skill_node_chs_hobgoblin_khan_eliteskill2	1
aahobgoblineliteskill4	wh2_main_skill_node_chs_hobgoblin_khan_eliteskill3	1
