effect_bonus_value_agent_subtype_junctions_tables	0
bonus_value_id	effect	subtype
availability	deco_effect_agent_enable_recruitment_chs_spy	hobgoblin_khan
cap	deco_effect_agent_cap_increase_chs_spy	hobgoblin_khan
recruitment_level	deco_effect_agent_recruitment_xp_chs_spy	hobgoblin_khan
availability	deco_effect_agent_recruitment_cdcastell	wh_main_chs_cha_dwarf_castellan
cap	deco_effect_agent_cap_increase_cdcastell	wh_main_chs_cha_dwarf_castellan
recruitment_level	deco_effect_agent_recruitmentxp_cdcastell	wh_main_chs_cha_dwarf_castellan
availability	deco_effect_agent_recruitment_cdsorchero	wh_main_chs_cha_dwarf_sorcerer_death
availability	deco_effect_agent_recruitment_cdsorchero	wh_main_chs_cha_dwarf_sorcerer_fire
availability	deco_effect_agent_recruitment_cdsorchero	wh_main_chs_cha_dwarf_sorcerer_metal
cap	deco_effect_agent_cap_increase_cdsorchero	wh_main_chs_cha_dwarf_sorcerer_death
cap	deco_effect_agent_cap_increase_cdsorchero	wh_main_chs_cha_dwarf_sorcerer_fire
cap	deco_effect_agent_cap_increase_cdsorchero	wh_main_chs_cha_dwarf_sorcerer_metal
recruitment_level	deco_effect_agent_recruitmentxp_cdsorchero	wh_main_chs_cha_dwarf_sorcerer_death
recruitment_level	deco_effect_agent_recruitmentxp_cdsorchero	wh_main_chs_cha_dwarf_sorcerer_fire
recruitment_level	deco_effect_agent_recruitmentxp_cdsorchero	wh_main_chs_cha_dwarf_sorcerer_metal
