unit_abilities_to_additional_ui_effects_juncs_tables	0
ability	effect
cd_tanit_bound_spell_honeyed_words	wh_main_all_summon_wyvern
cd_tanit_unit_abilities_great_taurus_breath	wh2_main_all_flaming
cd_tanit_unit_abilities_great_taurus_breath	wh_main_all_weak_against_single
cd_tanit_unit_abilities_great_taurus_breath	wh_main_all_strong_against_unit
cd_tanit_unit_abilities_great_taurus_breath	wh_main_projectile_powerful_explosion
cd_tanit_unit_abilities_lammasu_breath	wh_main_all_magical
cd_tanit_unit_abilities_lammasu_breath	wh_main_all_weak_against_single
cd_tanit_unit_abilities_lammasu_breath	wh_main_all_strong_against_unit
cd_tanit_unit_abilities_lammasu_breath	wh_main_projectile_powerful_explosion
