unit_sets_tables	2
key	use_unit_exp_level_range	min_unit_exp_level_inclusive	max_unit_exp_level_inclusive	special_category
aachaosdwarftag	false	-1	-1	
aachaosdwarftag_ranged	false	-1	-1	
aachaosdwarftag_rank7	true	7	9	
aachaosdwarftag_rank7_ranged	true	7	9	
aaslavetag	false	-1	-1	
aaslavetag_rank7	true	7	9	
aahobgoblintag	false	-1	-1	
aahobgoblintag_rank7	true	7	9	
aahobgobrangedtag	false	-1	-1	
aahobgobrangedtag_rank7	true	7	9	
aabullcentplustag	false	-1	-1	
aabullcentplustag_rank7	true	7	9	
aaartillerycdtag	false	-1	-1	
aaartillerycdtag_rank7	true	7	9	
aawarmachinecdtag	false	-1	-1	
aawarmachinecdtag_rank7	true	7	9	
aafireborntag	false	-1	-1	
aafireborntag_rank7	true	7	9	
aadarkalliestag	false	-1	-1	
aadarkalliestag_rank7	true	7	9	
aacdmonstersonly	false	-1	-1	
aacdwarrioronly	false	-1	-1	
aaimmortalonly	false	-1	-1	
aainfernalonly	false	-1	-1	
aadeathshriekeronly	false	-1	-1	
