character_skill_nodes_tables	5
campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
	aacdlordrunepre	wh_main_skill_node_set_chs_cha_dwarf_lord		0.0	wh_main_skill_node_chs_cd_lord_unique_110	6.0		0	0	true
	aacdlordrune1	wh_main_skill_node_set_chs_cha_dwarf_lord		0.0	wh_main_skill_node_chs_cd_lord_unique_111	7.0		0	0	true
	aacdlordrune2	wh_main_skill_node_set_chs_cha_dwarf_lord		0.0	wh_main_skill_node_chs_cd_lord_unique_112	8.0		0	0	true
	aacdlordrune3	wh_main_skill_node_set_chs_cha_dwarf_lord		0.0	wh_main_skill_node_chs_cd_lord_unique_113	9.0		0	0	true
	aacdlordrune4	wh_main_skill_node_set_chs_cha_dwarf_lord		0.0	wh_main_skill_node_chs_cd_lord_unique_114	10.0		0	0	true
	wh_main_skill_chs_lord_battle_dominating_presence	wh_main_skill_node_set_chs_cha_dwarf_lord		4.0	wh_main_skill_node_chs_cd_lord_battle_01	0.0		0	0	true
	aaslaveandcdskill	wh_main_skill_node_set_chs_cha_dwarf_lord		4.0	wh_main_skill_node_chs_cd_lord_battle_331	1.0		0	0	true
	aahobgobbcentskill	wh_main_skill_node_set_chs_cha_dwarf_lord		4.0	wh_main_skill_node_chs_cd_lord_battle_332	2.0		0	0	true
	aakdaimachinesskill	wh_main_skill_node_set_chs_cha_dwarf_lord		4.0	wh_main_skill_node_chs_cd_lord_battle_333	3.0		0	0	true
	aaalliesattackskill	wh_main_skill_node_set_chs_cha_dwarf_lord		4.0	wh_main_skill_node_chs_cd_lord_battle_334	4.0		0	0	true
	aaartillplusskill	wh_main_skill_node_set_chs_cha_dwarf_lord		4.0	wh_main_skill_node_chs_cd_lord_battle_335	5.0		0	0	true
	aaslavhobgobskill	wh_main_skill_node_set_chs_cha_dwarf_lord		4.0	wh_main_skill_node_chs_cd_lord_battle_336	6.0		0	0	true
	aadwarfhobgobskill	wh_main_skill_node_set_chs_cha_dwarf_lord		4.0	wh_main_skill_node_chs_cd_lord_battle_337	7.0		0	0	true
	wh2_dlc11_skill_chs_army_buff_doomfire	wh_main_skill_node_set_chs_cha_dwarf_lord		4.0	wh_main_skill_node_chs_cd_lord_battle_07	8.0		0	0	true
	wh_main_skill_all_lord_battle_rally	wh_main_skill_node_set_chs_cha_dwarf_lord		4.0	wh_main_skill_node_chs_cd_lord_battle_08	9.0		0	6	true
	aahashutwrathskill	wh_main_skill_node_set_chs_cha_dwarf_lord		4.0	wh_main_skill_node_chs_cd_lord_battle_391	10.0		0	0	true
