ui_unit_bullet_point_unit_overrides_tables	0
bullet_point	unit_key
armoured	wh_main_chs_cha_dwarf_lord_1
armour_piercing	wh_main_chs_cha_dwarf_lord_1
terror	wh_main_chs_cha_dwarf_lord_1
armoured	zhatan_the_black_1
terror	zhatan_the_black_1
scaly_skin	wh_main_chs_cha_bull_lord
armoured	wh_main_chs_cha_bull_lord
very_fast	wh_main_chs_cha_bull_lord
armoured_and_shielded	drazhoath_the_ashen_1
spellcaster	drazhoath_the_ashen_1
terror	drazhoath_the_ashen_1
armoured_and_shielded	wh_main_chs_cha_dwarf_lord_shadow_1
terror	wh_main_chs_cha_dwarf_lord_shadow_1
armoured_and_shielded	drazhoath_the_ashen
charge_reflector	drazhoath_the_ashen
spellcaster	drazhoath_the_ashen
shielded	hobgoblin_khan
duellist	hobgoblin_khan
shielded	hobgoblin_khan_wolf
duellist	hobgoblin_khan_wolf
very_fast	hobgoblin_khan_wolf
unbreakable	rykarth_the_unbreakable
charge_reflector_vs_large	rykarth_the_unbreakable
anti_large	rykarth_the_unbreakable
armoured	rykarth_the_unbreakable
armoured_and_shielded	wh_main_chs_cha_dwarf_castellan
darkforged	wh_main_chs_cha_dwarf_castellan
armoured	wh_main_chs_cha_dwarf_lord
armour_piercing	wh_main_chs_cha_dwarf_lord
armour_piercing_ranged	wh_main_chs_cha_dwarf_lord
armoured_and_shielded	wh_main_chs_cha_dwarf_lord_shadow
armour_piercing_ranged	wh_main_chs_cha_dwarf_lord_shadow
spellcaster	wh_main_chs_cha_dwarf_lord_shadow
armoured	wh_main_chs_cha_dwarf_sorcerer_death
spellcaster	wh_main_chs_cha_dwarf_sorcerer_death
armoured	wh_main_chs_cha_dwarf_sorcerer_fire
spellcaster	wh_main_chs_cha_dwarf_sorcerer_fire
armoured	wh_main_chs_cha_dwarf_sorcerer_metal
spellcaster	wh_main_chs_cha_dwarf_sorcerer_metal
charge_reflector	zhatan_the_black
armoured	zhatan_the_black
melee_expert	zhatan_the_black
spellcaster	wh_main_chs_cha_dwarf_lord_shadow_1
duellist	hobgoblin_greatkhan
very_fast	hobgoblin_greatkhan
spellcaster	hobgoblin_greatsorcerer
very_fast	hobgoblin_greatsorcerer
