unit_attributes_to_groups_junctions_tables	2
attribute	attribute_group
unbreakable	k'daai_fireborn
unbreakable	k'daai_destroyer
causes_fear	k'daai_fireborn
fatigue_immune	k'daai_fireborn
causes_fear	k'daai_destroyer
causes_terror	k'daai_destroyer
fatigue_immune	k'daai_destroyer
causes_fear	bull_centaur_render
causes_fear	bull_centaur_ba'hal
encourages	bull_centaur_ba'hal
fatigue_immune	bull_centaur_ba'hal
causes_fear	great_taurus
causes_terror	great_taurus
causes_fear	lammasu
causes_terror	lammasu
charge_reflector_vs_large	infernal_guard
hide_forest	infernal_guard
charge_reflector_vs_large	chaos_dwarf_warriors
hide_forest	chaos_dwarf_warriors
guerrilla_deploy	hobgoblin_sneaky_gits
stalk	hobgoblin_sneaky_gits
hide_forest	hobgoblin_cuthroats
hide_forest	slaves
hide_forest	hobgoblin_wolf_raider
mounted_fire_move	hobgoblin_wolf_raider
guerrilla_deploy	hobgoblin_wolf_raider
charge_reflector_vs_large	infernal_guard_great_weapons
hide_forest	infernal_guard_great_weapons
hide_forest	infernal_guard_ranged
hide_forest	chaos_dwarf_warriors_great_weapons
charge_reflector_vs_large	black_orc_slaves_spears
hide_forest	black_orc_slaves_spears
hide_forest	horde
immune_to_psychology	black_orc_slaves_spears
immune_to_psychology	horde
charge_reflector	zhatan_the_black
hide_forest	zhatan_the_black
hide_forest	guardians
causes_fear	guardians
fatigue_immune	zhatan_the_black
encourages	zhatan_the_black
encourages	wh_main_chs_cha_bull_lord
hide_forest	wh_main_chs_cha_bull_lord
causes_fear	wh_main_chs_cha_bull_lord
causes_fear	magma_beasts
strider	magma_beasts
causes_fear	siege_giant
causes_terror	siege_giant
wallbreaker	siege_giant
