units_to_groupings_military_permissions_tables	0
unit	military_group
chaos_dwarf_warriors_quarrellers	wh_main_group_chaos
chaos_dwarf_warriors_quarrellers	chaos_dwarf_group
chaos_dwarf_annihilators	wh_main_group_chaos
chaos_dwarf_annihilators	chaos_dwarf_group
wh2_dlc15_grn_mon_wyvern_waaagh_0	wh_main_group_chaos
wh2_dlc15_grn_mon_wyvern_waaagh_0	chaos_dwarf_group
hobgoblin_hobhound_ravagers	wh_main_group_chaos
hobgoblin_hobhound_ravagers	chaos_dwarf_group
hobgoblin_wolf_spears	wh_main_group_chaos
hobgoblin_wolf_spears	chaos_dwarf_group
cr_chd_mon_siege_giant	wh_main_group_chaos
cr_chd_mon_siege_giant	chaos_dwarf_group
