effect_bonus_value_agent_junction_tables	0
effect	bonus_value_id	agent
deco_effect_agent_enable_recruitment_chs_spy	availability	spy
deco_effect_agent_cap_increase_chs_spy	cap	spy
deco_effect_agent_recruitment_xp_chs_spy	recruitment_level	spy
deco_effect_agent_recruitment_cdcastell	availability	champion
deco_effect_agent_recruitmentxp_cdcastell	recruitment_level	champion
deco_effect_agent_cap_increase_cdcastell	cap	champion
deco_effect_agent_recruitment_cdsorchero	availability	wizard
deco_effect_agent_recruitmentxp_cdsorchero	recruitment_level	wizard
deco_effect_agent_cap_increase_cdsorchero	cap	wizard
