character_skill_nodes_skill_locks_tables	0
character_skill	character_skill_node	level
aacdlordrune1	wh_dlc07_skill_node_chs_cd_sorcerer_lord_shadow_unique_112	1
aacdlordrune1	wh_dlc07_skill_node_chs_cd_sorcerer_lord_shadow_unique_113	1
aacdlordrune1	wh_dlc07_skill_node_chs_cd_sorcerer_lord_shadow_unique_114	1
aacdlordrune2	wh_dlc07_skill_node_chs_cd_sorcerer_lord_shadow_unique_111	1
aacdlordrune2	wh_dlc07_skill_node_chs_cd_sorcerer_lord_shadow_unique_113	1
aacdlordrune2	wh_dlc07_skill_node_chs_cd_sorcerer_lord_shadow_unique_114	1
aacdlordrune3	wh_dlc07_skill_node_chs_cd_sorcerer_lord_shadow_unique_111	1
aacdlordrune3	wh_dlc07_skill_node_chs_cd_sorcerer_lord_shadow_unique_112	1
aacdlordrune3	wh_dlc07_skill_node_chs_cd_sorcerer_lord_shadow_unique_114	1
aacdlordrune4	wh_dlc07_skill_node_chs_cd_sorcerer_lord_shadow_unique_111	1
aacdlordrune4	wh_dlc07_skill_node_chs_cd_sorcerer_lord_shadow_unique_112	1
aacdlordrune4	wh_dlc07_skill_node_chs_cd_sorcerer_lord_shadow_unique_113	1
