land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
cd_tanit_unit_abilities_great_taurus_breath	wh_main_chs_cha_dwarf_lord_1
cd_tanit_mount_passive_blazing_body	wh_main_chs_cha_dwarf_lord_1
wh_main_unit_passive_relentless	wh_main_chs_cha_dwarf_lord_1
wh_main_character_abilities_stand_or_die	wh_main_chs_cha_dwarf_lord_1
wh_main_character_abilities_foe_seeker	wh_main_chs_cha_dwarf_lord_1
wh_main_character_abilities_stand_or_die	wh_main_chs_cha_dwarf_lord_1
wh_main_character_abilities_foe_seeker	wh_main_chs_cha_dwarf_lord_1
wh_main_character_abilities_deadly_onslaught	wh_main_chs_cha_dwarf_lord_1
cd_tanit_unit_abilities_lammasu_breath	wh_main_chs_cha_dwarf_lord_shadow_1
wh2_main_unit_passive_attuned_to_magic	wh_main_chs_cha_dwarf_lord_shadow_1
cd_tanit_bound_spell_honeyed_words	wh_main_chs_cha_dwarf_lord_shadow_1
wh_dlc05_spell_shadow_the_enfeebling_foe	wh_main_chs_cha_dwarf_lord_shadow_1
wh_main_spell_fire_flame_storm	wh_main_chs_cha_dwarf_lord_shadow_1
wh_main_unit_passive_relentless	wh_main_chs_cha_dwarf_lord_shadow_1
wh_main_character_abilities_stand_or_die	wh_main_chs_cha_dwarf_lord_shadow_1
wh_main_character_passive_evasion	wh_main_chs_cha_dwarf_lord_shadow_1
wh_main_character_abilities_arcane_conduit	wh_main_chs_cha_dwarf_lord_shadow_1
wh2_main_unit_abilities_dark_fire_of_chaos	wh_main_chs_cha_dwarf_lord_shadow_1
cd_tanit_unit_abilities_great_taurus_breath	zhatan_the_black_1
cd_tanit_mount_passive_blazing_body	zhatan_the_black_1
wh_main_unit_passive_relentless	zhatan_the_black_1
wh_main_character_abilities_stand_or_die	zhatan_the_black_1
wh_main_character_abilities_foe_seeker	zhatan_the_black_1
wh_main_character_abilities_deadly_onslaught	zhatan_the_black_1
cd_tanit_unit_abilities_great_taurus_breath	drazhoath_the_ashen_1
cd_tanit_mount_passive_blazing_body	drazhoath_the_ashen_1
wh_main_unit_passive_relentless	drazhoath_the_ashen_1
wh_main_character_abilities_stand_or_die	drazhoath_the_ashen_1
wh_main_character_abilities_foe_seeker	drazhoath_the_ashen_1
wh_main_character_abilities_arcane_conduit	drazhoath_the_ashen_1
wh_main_unit_passive_relentless	rykarth_the_unbreakable
wh_main_character_abilities_stand_or_die	rykarth_the_unbreakable
wh_main_character_abilities_foe_seeker	rykarth_the_unbreakable
wh_main_character_abilities_deadly_onslaught	rykarth_the_unbreakable
wh_main_character_abilities_stand_or_die	wh_main_chs_cha_bull_lord
wh_main_character_abilities_foe_seeker	wh_main_chs_cha_bull_lord
wh_main_character_abilities_deadly_onslaught	wh_main_chs_cha_bull_lord
wh_main_unit_passive_relentless	wh_main_chs_cha_dwarf_castellan
wh_main_character_abilities_foe_seeker	wh_main_chs_cha_dwarf_castellan
wh_main_character_abilities_deadly_onslaught	wh_main_chs_cha_dwarf_castellan
wh_main_unit_passive_relentless	wh_main_chs_cha_dwarf_lord
wh_main_character_abilities_stand_or_die	wh_main_chs_cha_dwarf_lord
wh_main_character_abilities_foe_seeker	wh_main_chs_cha_dwarf_lord
wh_main_character_abilities_deadly_onslaught	wh_main_chs_cha_dwarf_lord
wh_main_hero_abilities_ballistics_calibration	wh_main_chs_cha_dwarf_lord
wh_main_unit_passive_relentless	wh_main_chs_cha_dwarf_lord_shadow
wh_main_character_abilities_stand_or_die	wh_main_chs_cha_dwarf_lord_shadow
wh_main_character_passive_evasion	wh_main_chs_cha_dwarf_lord_shadow
wh_main_character_abilities_arcane_conduit	wh_main_chs_cha_dwarf_lord_shadow
wh2_main_unit_abilities_dark_fire_of_chaos	wh_main_chs_cha_dwarf_lord_shadow
wh_main_hero_abilities_ballistics_calibration	wh_main_chs_cha_dwarf_lord_shadow
wh_main_unit_passive_relentless	wh_main_chs_cha_dwarf_sorcerer_death
wh_main_character_passive_evasion	wh_main_chs_cha_dwarf_sorcerer_death
wh_main_unit_passive_relentless	wh_main_chs_cha_dwarf_sorcerer_fire
wh_main_character_passive_evasion	wh_main_chs_cha_dwarf_sorcerer_fire
wh_main_unit_passive_relentless	wh_main_chs_cha_dwarf_sorcerer_metal
wh_main_character_passive_evasion	wh_main_chs_cha_dwarf_sorcerer_metal
wh_main_unit_passive_relentless	zhatan_the_black
wh_main_character_abilities_stand_or_die	zhatan_the_black
wh_main_character_abilities_foe_seeker	zhatan_the_black
wh_main_character_abilities_deadly_onslaught	zhatan_the_black
wh_main_unit_passive_relentless	drazhoath_the_ashen
wh_main_character_abilities_stand_or_die	drazhoath_the_ashen
wh_main_character_abilities_foe_seeker	drazhoath_the_ashen
wh_main_character_abilities_arcane_conduit	drazhoath_the_ashen
wh_main_hero_abilities_slippery	hobgoblin_khan
wh_main_hero_abilities_slippery	hobgoblin_khan_wolf
