campaign_map_attrition_unit_immunities_tables	0
attrition	unit
chaos_territory	black_orc_slaves_dual
chaos_territory	bull_centaur_ba'hal
chaos_territory	bull_centaur_render
chaos_territory	bull_centaur_render_great_weapons
chaos_territory	chaos_dwarf_warriors
chaos_territory	chaos_dwarf_warriors_great_weapons
chaos_territory	chaos_dwarf_warriors_rifles
chaos_territory	deathshrieker_rocket_launcher
chaos_territory	dreadquake_mortar
chaos_territory	goblin_slaves
chaos_territory	great_taurus
chaos_territory	hobgoblin_archers
chaos_territory	hobgoblin_bolt_thrower
chaos_territory	hobgoblin_cuthroats
chaos_territory	hobgoblin_sneaky_gits
chaos_territory	hobgoblin_wolf_bow_raider
chaos_territory	immortals
chaos_territory	infernal_guard
chaos_territory	infernal_guard_acolytes
chaos_territory	infernal_guard_deathmask_naphta
chaos_territory	infernal_guard_great_weapons
chaos_territory	infernal_guard_zealot
chaos_territory	iron_daemon
chaos_territory	k'daai_destroyer
chaos_territory	k'daai_fireborn
chaos_territory	lammasu
chaos_territory	magma_cannon
chaos_territory	orc_slaves
chaos_territory	slave_ogre
chaos_territory	lava_troll
chaos_territory	kollossus
chaos_territory	cr_chd_mon_siege_giant
chaos_territory	ironsworn
wasteland	ironsworn
wasteland	black_orc_slaves_dual
wasteland	bull_centaur_ba'hal
wasteland	bull_centaur_render
wasteland	bull_centaur_render_great_weapons
wasteland	chaos_dwarf_warriors
wasteland	chaos_dwarf_warriors_great_weapons
wasteland	chaos_dwarf_warriors_rifles
wasteland	deathshrieker_rocket_launcher
wasteland	dreadquake_mortar
wasteland	goblin_slaves
wasteland	great_taurus
wasteland	hobgoblin_archers
wasteland	hobgoblin_bolt_thrower
wasteland	hobgoblin_cuthroats
wasteland	hobgoblin_sneaky_gits
wasteland	hobgoblin_wolf_bow_raider
wasteland	immortals
wasteland	infernal_guard
wasteland	infernal_guard_acolytes
wasteland	infernal_guard_deathmask_naphta
wasteland	infernal_guard_great_weapons
wasteland	infernal_guard_zealot
wasteland	iron_daemon
wasteland	k'daai_destroyer
wasteland	k'daai_fireborn
wasteland	lammasu
wasteland	magma_cannon
wasteland	orc_slaves
wasteland	slave_ogre
wasteland	lava_troll
wasteland	kollossus
wasteland	cr_chd_mon_siege_giant
horde_infighting	bull_centaur_ba'hal
horde_infighting	bull_centaur_render
horde_infighting	bull_centaur_render_great_weapons
horde_infighting	chaos_dwarf_warriors
horde_infighting	chaos_dwarf_warriors_great_weapons
horde_infighting	chaos_dwarf_warriors_rifles
horde_infighting	deathshrieker_rocket_launcher
horde_infighting	dreadquake_mortar
horde_infighting	great_taurus
horde_infighting	immortals
horde_infighting	infernal_guard
horde_infighting	infernal_guard_acolytes
horde_infighting	infernal_guard_deathmask_naphta
horde_infighting	infernal_guard_great_weapons
horde_infighting	infernal_guard_zealot
horde_infighting	iron_daemon
horde_infighting	k'daai_destroyer
horde_infighting	k'daai_fireborn
horde_infighting	lammasu
horde_infighting	magma_cannon
horde_infighting	lava_troll
horde_infighting	kollossus
horde_infighting	cr_chd_mon_siege_giant
horde_infighting	ironsworn
