battle_set_piece_armies_characters_items_tables	0
character_item	character_name
wh_main_anc_arcane_item_scroll_of_leeching	wh_main_chs_cha_dwarf_lord_shadow
wh_main_anc_arcane_item_scroll_of_leeching	wh_main_chs_cha_dwarf_sorcerer_death
wh_main_anc_enchanted_item_potion_of_strength	zhatan_the_black
wh_main_anc_enchanted_item_pendant_of_slaanesh	wh_main_chs_cha_dwarf_lord
wh_main_anc_enchanted_item_pendant_of_slaanesh	wh_main_chs_cha_bull_lord
wh_main_anc_weapon_filth_mace	wh_main_chs_cha_dwarf_lord
wh_main_anc_weapon_filth_mace	wh_main_chs_cha_bull_lord
wh_main_anc_weapon_sword_of_anti-heroes	wh_main_chs_cha_dwarf_sorcerer_death
wh_main_anc_weapon_sword_of_anti-heroes	wh_main_chs_cha_dwarf_sorcerer_fire
wh_main_anc_weapon_sword_of_anti-heroes	wh_main_chs_cha_dwarf_sorcerer_metal
wh_main_anc_magic_standard_blasted_standard	wh_main_chs_cha_dwarf_lord_shadow
wh_main_anc_magic_standard_blasted_standard	wh_main_chs_cha_dwarf_sorcerer_death
wh_main_anc_mark_of_chaos_mark_of_khorne	wh_main_chs_cha_dwarf_castellan
wh_main_anc_weapon_hellfire_sword	wh_main_chs_cha_dwarf_castellan
wh_main_anc_armour_auric_armour	rykarth_the_unbreakable
wh_main_anc_arcane_item_power_scroll	drazhoath_the_ashen
wh_main_anc_arcane_item_scroll_of_shielding	wh_main_chs_cha_dwarf_sorcerer_fire
wh_main_anc_arcane_item_scroll_of_shielding	wh_main_chs_cha_dwarf_sorcerer_metal
wh_main_anc_magic_standard_blasted_standard	wh_main_chs_cha_dwarf_sorcerer_fire
wh_main_anc_magic_standard_blasted_standard	wh_main_chs_cha_dwarf_sorcerer_metal
wh_main_anc_magic_standard_blasted_standard	wh_main_chs_cha_dwarf_lord
wh_main_anc_magic_standard_blasted_standard	wh_main_chs_cha_bull_lord
wh_main_anc_arcane_item_forbidden_rod	wh_main_chs_cha_dwarf_lord_shadow
wh_main_anc_arcane_item_forbidden_rod	wh_main_chs_cha_dwarf_sorcerer_death
wh_main_anc_arcane_item_forbidden_rod	wh_main_chs_cha_dwarf_sorcerer_fire
wh_main_anc_arcane_item_forbidden_rod	wh_main_chs_cha_dwarf_sorcerer_metal
wh_main_anc_arcane_item_forbidden_rod	drazhoath_the_ashen
wh_main_anc_arcane_item_power_scroll	wh_main_chs_cha_dwarf_lord_shadow
wh_main_anc_enchanted_item_potion_of_foolhardiness	hobgoblin_khan
wh_main_anc_enchanted_item_potion_of_foolhardiness	hobgoblin_khan_wolf
wh_main_anc_enchanted_item_crown_of_command	hobgoblin_khan
wh_main_anc_enchanted_item_crown_of_command	hobgoblin_khan_wolf
wh_main_anc_enchanted_item_healing_potion	drazhoath_the_ashen
