units_to_groupings_military_permissions_tables	0
unit	military_group
wh_main_chs_cha_dwarf_lord_1	chaos_dwarf_group
drazhoath_the_ashen_1	chaos_dwarf_group
zhatan_the_black_1	chaos_dwarf_group
wh_main_chs_cha_dwarf_lord_shadow_1	chaos_dwarf_group
hobgoblin_greatkhan	chaos_dwarf_group
hobgoblin_greatsorcerer	chaos_dwarf_group
wh_main_chs_cha_dwarf_lord	chaos_dwarf_group
wh_main_chs_cha_bull_lord	chaos_dwarf_group
wh_main_chs_cha_dwarf_sorcerer_fire	chaos_dwarf_group
wh_main_chs_cha_dwarf_sorcerer_death	chaos_dwarf_group
wh_main_chs_cha_dwarf_sorcerer_metal	chaos_dwarf_group
wh_main_chs_cha_dwarf_castellan	chaos_dwarf_group
wh_main_chs_cha_dwarf_lord_shadow	chaos_dwarf_group
zhatan_the_black	chaos_dwarf_group
drazhoath_the_ashen	chaos_dwarf_group
rykarth_the_unbreakable	chaos_dwarf_group
