cdir_military_generator_unit_qualities_tables	1
group_key	quality	unit_key
Default_land_command	10	wh_main_chs_cha_dwarf_lord
Default_land_command	10	drazhoath_the_ashen
Default_land_command	10	rykarth_the_unbreakable
Default_land_command	10	zhatan_the_black
Default_land_command	10	wh_main_chs_cha_dwarf_lord_shadow
Default_land_command	10	wh_main_chs_cha_bull_lord
Default_land_magic	10	wh_main_chs_cha_dwarf_sorcerer_death
Default_land_magic	10	wh_main_chs_cha_dwarf_sorcerer_fire
Default_land_magic	10	wh_main_chs_cha_dwarf_sorcerer_metal
Default_land_magic	10	wh_main_chs_cha_dwarf_castellan
Default_land_magic	10	hobgoblin_khan
Default_land_magic	10	hobgoblin_greatkhan
Default_land_magic	10	hobgoblin_greatsorcerer
