unit_variants_tables	5
faction	name	unit	variant	unit_card
	k'daai_fireborn	k'daai_fireborn	k'daai_fireborn	k'daai_fireborn
	k'daai_destroyer	k'daai_destroyer	k'daai_destroyer	k'daai_destroyer
	bull_centaur_render	bull_centaur_render	bull_centaur_render	bull_centaur_render
	bull_centaur_render_great_weapons	bull_centaur_render_great_weapons	bull_centaur_render_great_weapons	bull_centaur_render_great_weapons
	bull_centaur_ba'hal	bull_centaur_ba'hal	bull_centaur_ba'hal	bull_centaur_ba'hal
	great_taurus	great_taurus	great_taurus	great_taurus
	great_taurus2	great_taurus2	great_taurus2	great_taurus
	lammasu	lammasu	lammasu	lammasu
	infernal_guard	infernal_guard	infernal_guard	infernal_guard
	infernal_guard_great_weapons	infernal_guard_great_weapons	infernal_guard_great_weapons	infernal_guard_great_weapons
	infernal_guard_acolytes	infernal_guard_acolytes	infernal_guard_acolytes	infernal_guard_acolytes
	infernal_guard_zealot	infernal_guard_zealot	infernal_guard_zealot	infernal_guard_zealot
	infernal_guard_deathmask_naphta	infernal_guard_deathmask_naphta	infernal_guard_deathmask_naphta	infernal_guard_deathmask_naphta
	chaos_dwarf_warriors	chaos_dwarf_warriors	chaos_dwarf_warriors	chaos_dwarf_warriors
	chaos_dwarf_warriors_great_weapons	chaos_dwarf_warriors_great_weapons	chaos_dwarf_warriors_great_weapons	chaos_dwarf_warriors_great_weapons
	chaos_dwarf_warriors_rifles	chaos_dwarf_warriors_rifles	chaos_dwarf_warriors_rifles	chaos_dwarf_warriors_rifles
	hobgoblin_cuthroats	hobgoblin_cuthroats	hobgoblin_cuthroats	hobgoblin_cuthroats
	hobgoblin_sneaky_gits	hobgoblin_sneaky_gits	hobgoblin_sneaky_gits	hobgoblin_sneaky_gits
	hobgoblin_archers	hobgoblin_archers	hobgoblin_archers	hobgoblin_archers
	goblin_slaves	goblin_slaves	goblin_slaves	goblin_slaves
	orc_slaves	orc_slaves	orc_slaves	orc_slaves
	hobgoblin_wolf_bow_raider	hobgoblin_wolf_bow_raider	hobgoblin_wolf_bow_raider	hobgoblin_wolf_bow_raider
	wh_main_chs_art_hobgoblin_bolt_thrower	hobgoblin_bolt_thrower	hobgoblin_bolt_thrower_crew	hobgoblin_bolt_thrower
	wh_main_chs_art_deathshrieker_rocket_launcher	deathshrieker_rocket_launcher	deathshrieker_rocket_launcher	deathshrieker_rocket_launcher
	wh_main_chs_art_magma_cannon	magma_cannon	magma_cannon	magma_cannon
	iron_daemon	iron_daemon	wh_emp_state_troops	iron_daemon
	slave_ogre	slave_ogre	slave_ogre	slave_ogre
	immortals	immortals	immortals	immortals
	black_orc_slaves_dual	black_orc_slaves_dual	black_orc_slaves_dual	black_orc_slaves_dual
	lava_troll	lava_troll	lava_troll	lava_troll
	kollossus	kollossus	kollossus	kollossus
	wh_main_chs_cha_dwarf_lord	wh_main_chs_cha_dwarf_lord	wh_main_chs_cha_dwarf_lord	chaos_dwarf_castellan_warmaster
	wh_main_chs_cha_dwarf_sorcerer_fire	wh_main_chs_cha_dwarf_sorcerer_fire	wh_main_chs_cha_dwarf_sorcerer_fire	chaos_dwarf_daemonsmith_02
	zhatan_the_black	zhatan_the_black	zhatan_the_black	zhatan_the_black
	drazhoath_the_ashen	drazhoath_the_ashen	drazhoath_the_ashen	drazhoath_the_ashen
	rykarth_the_unbreakable	rykarth_the_unbreakable	rykarth_the_unbreakable	rykarth_the_unbreakable
	wh_main_chs_cha_dwarf_sorcerer_death	wh_main_chs_cha_dwarf_sorcerer_death	wh_main_chs_cha_dwarf_sorcerer_death	chaos_dwarf_daemonsmith_03
	wh_main_chs_cha_dwarf_sorcerer_metal	wh_main_chs_cha_dwarf_sorcerer_metal	wh_main_chs_cha_dwarf_sorcerer_metal	chaos_dwarf_daemonsmith_01
	wh_main_chs_cha_dwarf_castellan	wh_main_chs_cha_dwarf_castellan	wh_main_chs_cha_dwarf_castellan	chaos_dwarf_castellan
	wh_main_chs_cha_dwarf_lord_shadow	wh_main_chs_cha_dwarf_lord_shadow	wh_main_chs_cha_dwarf_lord_shadow	chaos_dwarf_sorcerer_01
	hobgoblin_khan	hobgoblin_khan	hobgoblin_khan	hobgoblin_khan
	hobgoblin_khan_wolf	hobgoblin_khan_wolf	hobgoblin_khan_wolf	hobgoblin_khan
	wh_main_chs_cha_bull_lord	wh_main_chs_cha_bull_lord	wh_main_chs_cha_bull_lord	wh_main_chs_cha_bull_lord
