ancillary_included_subcultures_tables	0
ancillary	subculture
er_anc_mount_chd_dwarf_lord_shadow_statue_0	wh_main_sc_chs_chaos
er_anc_mount_chd_dwarf_lord_shadow_statue_1	wh_main_sc_chs_chaos
er_anc_mount_chd_dwarf_lord_shadow_statue_2	wh_main_sc_chs_chaos
er_anc_mount_chd_dwarf_sorcerer_death_statue_0	wh_main_sc_chs_chaos
er_anc_mount_chd_dwarf_sorcerer_death_statue_1	wh_main_sc_chs_chaos
er_anc_mount_chd_dwarf_sorcerer_death_statue_2	wh_main_sc_chs_chaos
er_anc_mount_chd_dwarf_sorcerer_fire_statue_0	wh_main_sc_chs_chaos
er_anc_mount_chd_dwarf_sorcerer_fire_statue_1	wh_main_sc_chs_chaos
er_anc_mount_chd_dwarf_sorcerer_fire_statue_2	wh_main_sc_chs_chaos
er_anc_mount_chd_dwarf_sorcerer_metal_statue_0	wh_main_sc_chs_chaos
er_anc_mount_chd_dwarf_sorcerer_metal_statue_1	wh_main_sc_chs_chaos
er_anc_mount_chd_dwarf_sorcerer_metal_statue_2	wh_main_sc_chs_chaos
