trait_level_effects_tables	0
trait_level	effect	effect_scope	value
er_trait_chd_sorcerer_petrification_2	wh_main_effect_character_stat_mod_armour	character_to_character_own	5.0
er_trait_chd_sorcerer_petrification_2	wh_main_effect_character_stat_mod_battle_movement_speed	character_to_character_own	-5.0
er_trait_chd_sorcerer_petrification_2	wh2_dlc12_effect_magic_cooldown_all_lores	character_to_character_own	5.0
er_trait_chd_sorcerer_petrification_3	wh_main_effect_character_stat_mod_armour	character_to_character_own	10.0
er_trait_chd_sorcerer_petrification_3	wh2_dlc12_effect_magic_cooldown_all_lores	character_to_character_own	25.0
er_trait_chd_sorcerer_petrification_3	er_effect_enable_mount_petrified_sorcerer_0	character_to_character_own	1.0
er_trait_chd_sorcerer_petrification_4	wh_main_effect_character_stat_mod_armour	character_to_character_own	20.0
er_trait_chd_sorcerer_petrification_4	wh2_dlc12_effect_magic_cooldown_all_lores	character_to_character_own	50.0
er_trait_chd_sorcerer_petrification_4	er_effect_enable_mount_petrified_sorcerer_1	character_to_character_own	1.0
er_trait_chd_sorcerer_petrification_5	wh_main_effect_character_stat_mod_armour	character_to_character_own	40.0
er_trait_chd_sorcerer_petrification_5	er_effect_disable_all_magic_abilities	character_to_character_own	1.0
er_trait_chd_sorcerer_petrification_5	er_effect_enable_mount_petrified_sorcerer_2	character_to_character_own	1.0
