units_to_groupings_military_permissions_tables	0
unit	military_group
wh_main_chs_cha_dwarf_lord_shadow_2	wh_main_group_chaos
wh_main_chs_cha_dwarf_lord_shadow_3	wh_main_group_chaos
wh_main_chs_cha_dwarf_lord_shadow_4	wh_main_group_chaos
wh_main_chs_cha_dwarf_sorcerer_death_1	wh_main_group_chaos
wh_main_chs_cha_dwarf_sorcerer_death_2	wh_main_group_chaos
wh_main_chs_cha_dwarf_sorcerer_death_3	wh_main_group_chaos
wh_main_chs_cha_dwarf_sorcerer_fire_1	wh_main_group_chaos
wh_main_chs_cha_dwarf_sorcerer_fire_2	wh_main_group_chaos
wh_main_chs_cha_dwarf_sorcerer_fire_3	wh_main_group_chaos
wh_main_chs_cha_dwarf_sorcerer_metal_1	wh_main_group_chaos
wh_main_chs_cha_dwarf_sorcerer_metal_2	wh_main_group_chaos
wh_main_chs_cha_dwarf_sorcerer_metal_3	wh_main_group_chaos
