projectiles_tables	46
key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_cavalry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	is_grapple	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	scaling_damage	vegetation_ignore_time
iron_daemon	musket	small_arm_default		none	12	low	160	8	88	80.0	20.0	2.2	25	20	true	false	0.1	11.0	85.0	1.4	0	0	0	wh_dwf_rifle_bullet		wh_bullet	-1.0	true		false	-1.0	1	0.0	10.0			0.0	false	true	45	medium	300	false	false	true	false	1	true	false	true	true		0.53
iron_daemon_turret	musket	small_arm_default	wh_main_emp_steamtank_steamgun_explosion	none	12	low	160	8	88	80.0	20.0	2.2	25	20	false	false	0.1	11.0	85.0	1.4	0	0	0	wh_dwf_rifle_bullet		wh_bullet	-1.0	true		false	-1.0	1	0.0	10.0			0.0	false	true	45	medium	300	false	false	false	false	1	false	false	false	true		0.53
wh_chaos_dwf_rifle_bullet	musket	small_arm_default		none	4	low	100	0	88	100.0	20.0	1.4	3	7	false	false	0.05	15.0	85.0	1.4	0	0	0	wh_dwf_rifle_bullet		wh_bullet	-1.0	false		false	-1.0	1	0.0	3.0			0.0	false	true	45	very_low	300	false	false	false	false	1	false	false	false	false		0.42
ak_mod_grn_art_spear_chukka	artillery	artillery_default		none	1	low	300	10	40	70.0	15.0	0.0	40	68	false	false	0.1	10.0	250.0	3.0	0	0	15	cr_grn_spear_chukka_spear		wh_bolt_thrower	-1.0	true		false	-1.0	1	0.0	50.0			0.0	false	true	45	large_3	700	false	false	false	false	1	false	false	false	true		0.6
dreadquake_mortar	artillery	explosives	dreadquake_mortar	axe_spin	1	fixed	540	100	56	68.0	10.0	0.0	120	280	false	false	0.5	60.0	400.0	500.0	0	0	0	wh_emp_mortar		wh_mortar_cannonball	3.0	true	tanit_cd_unit_contact_shellshocked	false	-1.0	1	0.0	1500.0			0.0	false	true	50	large_3	-1	false	false	false	false	1	false	false	true	true		0.62
deathshrieker_rocket_launcher	artillery	artillery_explosive	deathshrieker_rocket_launcher	none	1	low	440	10	40	100.0	15.0	0.0	30	110	false	false	1.0	18.0	275.0	9.2	0	0	0	wh_emp_rocket		wh_helstorm_rocket	0.6	true		false	-1.0	1	0.0	250.0			10.0	false	true	45	very_low	700	false	true	false	false	1	false	false	false	true		0.42
magma_cannon	artillery	artillery_flammable	magma_cannon	none	1	fixed	230	7	35	43.0	20.0	0.0	200	100	false	false	1.0	10.0	80.0	10.0	0	0	0	magma_cannon		wh_flame_cannon_flame	1.2	true	wh_main_unit_contact_morale	false	10.0	1	0.0	300.0			1.0	false	true	23	very_low	270	false	false	false	false	1	false	false	false	true		0.98
chaos_dwarf_lord_rifle_bullet	musket	artillery_default		none	1	low	120	0	88	110.0	70.0	0.0	80	200	false	false	0.1	10.0	100.0	2.0	0	0	0	wh_dwf_rifle_bullet		wh_bullet	-1.0	false		false	-1.0	1	0.0	40.0			0.0	false	true	45	medium	-1	false	false	false	false	1	false	false	false	false		0.38
wh_chd_cinderblast_bomb	grenade	explosives	wh_main_chd_cinderblast_explosion	grenade_spin	1	dual_low_fixed	60	7	88	28.0	10.0	0.0	1	0	true	false	0.1	9.0	50.0	2.0	0	0	0	wh_dwf_miners_blasting_charge		wh_miners_blasting_charge	-1.0	false		false	-1.0	1	0.0	3.0			0.0	false	false	35	very_low	-1	false	false	true	false	1	false	false	false	false		1.5
chorf_overlord_rifle	musket	artillery_default		none	4	low	130	0	88	110.0	20.0	1.4	25	75	false	false	0.1	9.0	85.0	2.0	0	0	15	wh_dwf_rifle_bullet		wh_bullet	-1.0	false	wh2_dlc11_unit_contact_disrupted	false	-1.0	1	0.0	6.0			0.0	false	true	45	medium	300	false	false	false	false	1	false	false	false	false		0.38
chorf_prophet_rifle	musket	artillery_default		none	16	low	90	0	88	100.0	5.0	5.0	7	14	false	false	0.1	14.0	80.0	2.0	5	0	0	wh_dwf_rifle_bullet		wh_bullet	-1.0	false	wh2_dlc09_unit_contact_shieldbreaker	false	-1.0	1	0.0	3.0			0.0	false	true	45	very_low	300	false	false	false	false	1	false	false	false	false		0.42
adshobgoblin_greatkhanbow	arrow	small_arm_default		none	1	dual_low_fixed	165	0	88	55.0	10.0	0.0	180	110	false	false	0.1	6.0	80.0	3.5	0	0	0	wh_grn_goblin_arrow		wh_bow_arrow_normal	-1.0	false		false	-1.0	1	0.0	5.0			0.0	false	true	45	very_low	300	false	false	false	true	1	false	false	false	false		0.76
