ui_unit_bullet_point_unit_overrides_tables	0
bullet_point	unit_key
armour_piercing	k'daai_fireborn
armoured	k'daai_fireborn
unbreakable	k'daai_fireborn
armour_piercing	k'daai_destroyer
armoured	k'daai_destroyer
unbreakable	k'daai_destroyer
terror	k'daai_destroyer
armoured_and_shielded	bull_centaur_render
scaly_skin	bull_centaur_render
armour_piercing	bull_centaur_render_great_weapons
armoured	bull_centaur_render_great_weapons
scaly_skin	bull_centaur_render_great_weapons
frenzy	bull_centaur_render_great_weapons
armoured_and_shielded	bull_centaur_ba'hal
anti_large	bull_centaur_ba'hal
scaly_skin	bull_centaur_ba'hal
terror	great_taurus
terror	lammasu
large_bst	lammasu
armoured_and_shielded	infernal_guard
charge_reflector_vs_large	infernal_guard
armour_piercing	infernal_guard_great_weapons
armoured	infernal_guard_great_weapons
armoured_and_shielded	infernal_guard_deathmask_naphta
charge_reflector_vs_large	infernal_guard_deathmask_naphta
decent_melee	infernal_guard_deathmask_naphta
armour_piercing	infernal_guard_acolytes
armoured	infernal_guard_acolytes
anti_large	infernal_guard_acolytes
darkforged	infernal_guard_acolytes
armoured_and_shielded	chaos_dwarf_warriors
charge_reflector_vs_large	chaos_dwarf_warriors
armour_piercing	chaos_dwarf_warriors_great_weapons
armoured	chaos_dwarf_warriors_great_weapons
armour_piercing_ranged	chaos_dwarf_warriors_rifles
armoured	chaos_dwarf_warriors_rifles
decent_melee	chaos_dwarf_warriors_rifles
expendable	hobgoblin_cuthroats
poor_morale	hobgoblin_cuthroats
poor_morale	hobgoblin_sneaky_gits
stalk	hobgoblin_sneaky_gits
expendable	hobgoblin_archers
poor_morale	hobgoblin_archers
weak_anti_armour	hobgoblin_archers
expendable	goblin_slaves
poor_morale	goblin_slaves
expendable	orc_slaves
poor_morale	orc_slaves
poor_morale	hobgoblin_wolf_bow_raider
weak_anti_armour	hobgoblin_wolf_bow_raider
very_fast	hobgoblin_wolf_bow_raider
anti_infantry	magma_cannon
armour_piercing_ranged	deathshrieker_rocket_launcher
anti_large	hobgoblin_bolt_thrower
armour_piercing_ranged	hobgoblin_bolt_thrower
armoured	iron_daemon
terror	iron_daemon
unbreakable	iron_daemon
armour_piercing	slave_ogre
ogre_charge	slave_ogre
poor_morale	slave_ogre
armour_piercing	immortals
armoured	immortals
damage_dealer	immortals
damage_dealer	black_orc_slaves_dual
unbreakable	infernal_guard_zealot
fast_dwarf	infernal_guard_zealot
whirling_axes	infernal_guard_zealot
anti_infantry	infernal_guard_zealot
armour_piercing	bull_centaur_ba'hal
rampage	great_taurus
large_bst	great_taurus
poor_morale	great_taurus
poor_morale	lava_troll
regeneration	lava_troll
armour_piercing	lava_troll
unbreakable	kollossus
armour_piercing	kollossus
armoured	kollossus
armour_sundering	kollossus
expendable	hobgoblin_bolt_thrower
anti_infantry	k'daai_fireborn
charge_reflector_vs_large	infernal_guard_great_weapons
shielded	hobgoblin_cuthroats
shielded	orc_slaves
honeyed	lammasu
