campaign_character_arts_tables	7
art_set_id	level	age	portrait	season	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	id	religion	land_animation_vfx_filter	sea_animation_vfx_filter	navy_animation_vfx_filter
wh_main_chs_cha_dwarf_lord	0	0		none	wh_main_chs_cha_dwarf_lord			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu3_dwarf_2handed_hammer_and_rifle	cam_light_ship_04	cam_heavy_ship_04	1998588100		0	0	0
wh_main_chs_cha_dwarf_lord_shadow	0	0		none	wh_main_chs_cha_dwarf_lord_shadow			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu3_dwarf_axe_shield_and_crossbow	cam_heavy_ship_04	cam_heavy_ship_04	1998588101		0	0	0
wh_main_chs_cha_dwarf_sorcerer_death	0	0		none	wh_main_chs_cha_dwarf_sorcerer_death			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu3_dwarf_hammer	cam_light_ship_04	cam_heavy_ship_04	1998588102		0	0	0
wh_main_chs_cha_dwarf_sorcerer_fire	0	0		none	wh_main_chs_cha_dwarf_sorcerer_fire			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu3_dwarf_hammer	cam_light_ship_04	cam_heavy_ship_04	1998588103		0	0	0
wh_main_chs_cha_dwarf_sorcerer_metal	0	0		none	wh_main_chs_cha_dwarf_sorcerer_metal			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu3_dwarf_hammer	cam_light_ship_04	cam_heavy_ship_04	1998588104		0	0	0
wh_main_chs_cha_dwarf_castellan	0	0		none	wh_main_chs_cha_dwarf_castellan			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu3_dwarf_axe_and_shield	cam_light_ship_04	cam_heavy_ship_04	1998588105		0	0	0
hobgoblin_khan	0	0		none	hobgoblin_khan			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu5_goblin_spear_and_shield	cam_light_ship_02	cam_heavy_ship_02	1998588106		0	0	0
wh_main_chs_cha_bull_lord	0	0		none	wh_main_chs_cha_bull_lord			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	mixu_ce1_centigor_2handed_glaive	cam_heavy_ship_04	cam_heavy_ship_04	1998588107		0	0	0
hobgoblin_greatsorcerer1	0	0		none	hobgoblin_greatsorcerer1			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu5_goblin_spear_and_shield	cam_light_ship_02	cam_heavy_ship_02	1998588108		0	0	0
hobgoblin_greatsorcerer2	0	0		none	hobgoblin_greatsorcerer2			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu5_goblin_spear_and_shield	cam_light_ship_02	cam_heavy_ship_02	1998588109		0	0	0
hobgoblin_greatkhan1	0	0		none	hobgoblin_greatkhan1			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu5_goblin_spear_and_shield	cam_light_ship_02	cam_heavy_ship_02	1998588110		0	0	0
hobgoblin_greatkhan2	0	0		none	hobgoblin_greatkhan2			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu5_goblin_spear_and_shield	cam_light_ship_02	cam_heavy_ship_02	1998588111		0	0	0
