ancillaries_included_agent_subtypes_tables	0
agent_subtype	ancillary
wh_main_chs_cha_dwarf_lord_shadow	er_anc_mount_chd_dwarf_lord_shadow_statue_0
wh_main_chs_cha_dwarf_lord_shadow	er_anc_mount_chd_dwarf_lord_shadow_statue_1
wh_main_chs_cha_dwarf_lord_shadow	er_anc_mount_chd_dwarf_lord_shadow_statue_2
wh_main_chs_cha_dwarf_sorcerer_death	er_anc_mount_chd_dwarf_sorcerer_death_statue_0
wh_main_chs_cha_dwarf_sorcerer_death	er_anc_mount_chd_dwarf_sorcerer_death_statue_1
wh_main_chs_cha_dwarf_sorcerer_death	er_anc_mount_chd_dwarf_sorcerer_death_statue_2
wh_main_chs_cha_dwarf_sorcerer_fire	er_anc_mount_chd_dwarf_sorcerer_fire_statue_0
wh_main_chs_cha_dwarf_sorcerer_fire	er_anc_mount_chd_dwarf_sorcerer_fire_statue_1
wh_main_chs_cha_dwarf_sorcerer_fire	er_anc_mount_chd_dwarf_sorcerer_fire_statue_2
wh_main_chs_cha_dwarf_sorcerer_metal	er_anc_mount_chd_dwarf_sorcerer_metal_statue_0
wh_main_chs_cha_dwarf_sorcerer_metal	er_anc_mount_chd_dwarf_sorcerer_metal_statue_1
wh_main_chs_cha_dwarf_sorcerer_metal	er_anc_mount_chd_dwarf_sorcerer_metal_statue_2
