ancillary_included_subcultures_tables	0
ancillary	subculture
wh_main_anc_drazsceprte_ll1	wh_main_sc_chs_chaos
wh_main_anc_drazcrucib_ll1	wh_main_sc_chs_chaos
wh_main_anc_rykarmour_ll1	wh_main_sc_chs_chaos
wh_main_anc_rykamulet_ll1	wh_main_sc_chs_chaos
wh_main_anc_zhathammer_ll1	wh_main_sc_chs_chaos
wh_main_anc_zhatarmour_ll1	wh_main_sc_chs_chaos
wh_main_anc_mount_chs_hobgoblin_khan_wolf	wh_main_sc_chs_chaos
wh_main_anc_mount_chs_hobgoblin_greatkhan_wolf	wh_main_sc_chs_chaos
wh_main_anc_mount_chs_hobgoblin_sorcerer_wolf	wh_main_sc_chs_chaos
