Loc PackedFile	1
key	text	tooltip
units_custom_battle_mounts_localised_description_wh_main_chs_cha_dwarf_lord_shadowwh_main_chs_cha_dwarf_lord_shadow_4	Such is the price to pay to be bestowed with the blessings of Hashut.	false
units_custom_battle_mounts_mount_name_wh_main_chs_cha_dwarf_lord_shadowwh_main_chs_cha_dwarf_lord_shadow_4	Completed Statue	false
units_custom_battle_mounts_localised_description_wh_main_chs_cha_dwarf_sorcerer_deathwh_main_chs_cha_dwarf_sorcerer_death_3	Such is the price to pay to be bestowed with the blessings of Hashut.	false
units_custom_battle_mounts_mount_name_wh_main_chs_cha_dwarf_sorcerer_deathwh_main_chs_cha_dwarf_sorcerer_death_3	Completed Statue	false
units_custom_battle_mounts_localised_description_wh_main_chs_cha_dwarf_sorcerer_firewh_main_chs_cha_dwarf_sorcerer_fire_3	Such is the price to pay to be bestowed with the blessings of Hashut.	false
units_custom_battle_mounts_mount_name_wh_main_chs_cha_dwarf_sorcerer_firewh_main_chs_cha_dwarf_sorcerer_fire_3	Completed Statue	false
units_custom_battle_mounts_localised_description_wh_main_chs_cha_dwarf_sorcerer_metalwh_main_chs_cha_dwarf_sorcerer_metal_3	Such is the price to pay to be bestowed with the blessings of Hashut.	false
units_custom_battle_mounts_mount_name_wh_main_chs_cha_dwarf_sorcerer_metalwh_main_chs_cha_dwarf_sorcerer_metal_3	Completed Statue	false
units_custom_battle_mounts_localised_description_wh_main_chs_cha_dwarf_lord_shadowwh_main_chs_cha_dwarf_lord_shadow_2	Once a sorcerer's lower body and torso turn to stone, his followers are obliged to carry him around.	false
units_custom_battle_mounts_mount_name_wh_main_chs_cha_dwarf_lord_shadowwh_main_chs_cha_dwarf_lord_shadow_2	Early Statue	false
units_custom_battle_mounts_localised_description_wh_main_chs_cha_dwarf_sorcerer_deathwh_main_chs_cha_dwarf_sorcerer_death_1	Once a sorcerer's lower body and torso turn to stone, his followers are obliged to carry him around.	false
units_custom_battle_mounts_mount_name_wh_main_chs_cha_dwarf_sorcerer_deathwh_main_chs_cha_dwarf_sorcerer_death_1	Early Statue	false
units_custom_battle_mounts_localised_description_wh_main_chs_cha_dwarf_sorcerer_firewh_main_chs_cha_dwarf_sorcerer_fire_1	Once a sorcerer's lower body and torso turn to stone, his followers are obliged to carry him around.	false
units_custom_battle_mounts_mount_name_wh_main_chs_cha_dwarf_sorcerer_firewh_main_chs_cha_dwarf_sorcerer_fire_1	Early Statue	false
units_custom_battle_mounts_localised_description_wh_main_chs_cha_dwarf_sorcerer_metalwh_main_chs_cha_dwarf_sorcerer_metal_1	Once a sorcerer's lower body and torso turn to stone, his followers are obliged to carry him around.	false
units_custom_battle_mounts_mount_name_wh_main_chs_cha_dwarf_sorcerer_metalwh_main_chs_cha_dwarf_sorcerer_metal_1	Early Statue	false
