character_skill_utilization_hints_junctions_tables	0
hint	key
USEFUL_ALWAYS	wh_main_skill_chs_cha_dwarf_lord_taurus
USEFUL_ALWAYS	wh_main_skill_chs_cha_dwarf_lord_taurus_zhatan
USEFUL_ALWAYS	wh_main_skill_chs_cha_dwarf_lord_lammasu
USEFUL_ALWAYS	wh_main_skill_chs_cha_drazhoath_cinderbreath
USEFUL_ALWAYS	aalegendaryskill1
USEFUL_ALWAYS	aalegendaryskill2
USEFUL_ALWAYS	aalegendaryskill3
USEFUL_ALWAYS	aalegendaryskill4
USEFUL_ALWAYS	aalegendaryskill5
USEFUL_ALWAYS	aalegendaryskill6
USEFUL_ALWAYS	aalegendaryskill7
USEFUL_ALWAYS	aalegendaryskill8
USEFUL_ALWAYS	aalegendaryskill9
USEFUL_ALWAYS	aadrazspecial1
USEFUL_ALWAYS	aadrazspecial2
USEFUL_ALWAYS	aadrazspecial3
USEFUL_ALWAYS	aadrazspecial4
USEFUL_ALWAYS	aadrazspecial5
USEFUL_ALWAYS	aadrazspecial6
USEFUL_ALWAYS	aarykspecial1
USEFUL_ALWAYS	aarykspecial2
USEFUL_ALWAYS	aarykspecial3
USEFUL_ALWAYS	aarykspecial4
USEFUL_ALWAYS	aarykspecial5
USEFUL_ALWAYS	aarykspecial6
USEFUL_ALWAYS	aazhatspecial1
USEFUL_ALWAYS	aazhatspecial2
USEFUL_ALWAYS	aazhatspecial3
USEFUL_ALWAYS	aazhatspecial4
USEFUL_ALWAYS	aazhatspecial5
USEFUL_ALWAYS	aazhatspecial6
