campaign_character_uniform_ancillary_junctions_tables	0
ancillary	art_set	uniform
wh_main_anc_mount_chs_great_taurus	wh_main_chs_cha_dwarf_lord_1	wh_main_chs_cha_dwarf_lord_1
wh_main_anc_mount_chs_great_taurus_zhatan	zhatan_the_black_1	zhatan_the_black_1
wh_main_anc_mount_chs_lammasu	wh_main_chs_cha_dwarf_lord_shadow_1	wh_main_chs_cha_dwarf_lord_shadow_1
wh_main_anc_mount_chs_cinderbreath	drazhoath_the_ashen_1	drazhoath_the_ashen_1
wh_main_anc_mount_chs_hobgoblin_khan_wolf	hobgoblin_khan_wolf	hobgoblin_khan_wolf
wh_main_anc_mount_chs_hobgoblin_greatkhan_wolf	hobgoblin_greatkhan1	hobgoblin_greatkhan1
wh_main_anc_mount_chs_hobgoblin_greatkhan_wolf	hobgoblin_greatkhan2	hobgoblin_greatkhan2
wh_main_anc_mount_chs_hobgoblin_sorcerer_wolf	hobgoblin_greatsorcerer1	hobgoblin_greatsorcerer1
wh_main_anc_mount_chs_hobgoblin_sorcerer_wolf	hobgoblin_greatsorcerer2	hobgoblin_greatsorcerer2
