campaign_mount_animation_set_overrides_tables	2
character_animation_set	mount_unit	rider_animation_set	vfx_filter_override
cam_hu3_dwarf_axe_and_shield	wh_main_chs_cha_dwarf_lord_shadow_2	cam_hu3_dwarf_wm_throne_of_power01_axe	0
cam_hu3_dwarf_axe_and_shield	wh_main_chs_cha_dwarf_lord_shadow_3	cam_hu3_dwarf_wm_throne_of_power01_axe	0
cam_hu3_dwarf_axe_and_shield	wh_main_chs_cha_dwarf_lord_shadow_4	cam_hu3_dwarf_wm_throne_of_power01_axe	0
cam_hu3_dwarf_hammer	wh_main_chs_cha_dwarf_sorcerer_death_1	cam_hu3_dwarf_wm_throne_of_power01_axe	0
cam_hu3_dwarf_hammer	wh_main_chs_cha_dwarf_sorcerer_death_2	cam_hu3_dwarf_wm_throne_of_power01_axe	0
cam_hu3_dwarf_hammer	wh_main_chs_cha_dwarf_sorcerer_death_3	cam_hu3_dwarf_wm_throne_of_power01_axe	0
cam_hu3_dwarf_hammer	wh_main_chs_cha_dwarf_sorcerer_fire_1	cam_hu3_dwarf_wm_throne_of_power01_axe	0
cam_hu3_dwarf_hammer	wh_main_chs_cha_dwarf_sorcerer_fire_2	cam_hu3_dwarf_wm_throne_of_power01_axe	0
cam_hu3_dwarf_hammer	wh_main_chs_cha_dwarf_sorcerer_fire_3	cam_hu3_dwarf_wm_throne_of_power01_axe	0
cam_hu3_dwarf_hammer	wh_main_chs_cha_dwarf_sorcerer_metal_1	cam_hu3_dwarf_wm_throne_of_power01_axe	0
cam_hu3_dwarf_hammer	wh_main_chs_cha_dwarf_sorcerer_metal_2	cam_hu3_dwarf_wm_throne_of_power01_axe	0
cam_hu3_dwarf_hammer	wh_main_chs_cha_dwarf_sorcerer_metal_3	cam_hu3_dwarf_wm_throne_of_power01_axe	0
cam_hu5_goblin_spear_and_shield	hobgoblin_khan_wolf	cam_hu5_goblin_wf1_wolf_spear_and_shield	0
cam_hu5_goblin_spear_and_shield	hobgoblin_greatkhan	cam_hu5_goblin_wf1_wolf_spear_and_shield	0
cam_hu5_goblin_staff_and_sword	hobgoblin_greatsorcerer	cam_hu5_goblin_wf1_wolf_staff_and_sword	0
