units_to_groupings_military_permissions_tables	0
unit	military_group
black_orc_slaves_dual	wh_main_group_chaos
black_orc_slaves_dual	chaos_dwarf_group
bull_centaur_ba'hal	wh_main_group_chaos
bull_centaur_ba'hal	chaos_dwarf_group
bull_centaur_ba'hal_guardians	wh_main_group_chaos
bull_centaur_ba'hal_guardians	chaos_dwarf_group
bull_centaur_render	wh_main_group_chaos
bull_centaur_render	chaos_dwarf_group
bull_centaur_render_great_weapons	wh_main_group_chaos
bull_centaur_render_great_weapons	chaos_dwarf_group
chaos_dwarf_warriors	wh_main_group_chaos
chaos_dwarf_warriors	chaos_dwarf_group
chaos_dwarf_warriors_great_weapons	wh_main_group_chaos
chaos_dwarf_warriors_great_weapons	chaos_dwarf_group
chaos_dwarf_warriors_horde	wh_main_group_chaos
chaos_dwarf_warriors_horde	chaos_dwarf_group
chaos_dwarf_warriors_rifles	wh_main_group_chaos
chaos_dwarf_warriors_rifles	chaos_dwarf_group
deathshrieker_rocket_launcher	wh_main_group_chaos
deathshrieker_rocket_launcher	chaos_dwarf_group
dreadquake_mortar	wh_main_group_chaos
dreadquake_mortar	chaos_dwarf_group
goblin_slaves	wh_main_group_chaos
goblin_slaves	chaos_dwarf_group
granite_guard	wh_main_group_chaos
granite_guard	chaos_dwarf_group
great_taurus	wh_main_group_chaos
great_taurus	chaos_dwarf_group
hobgoblin_archers	wh_main_group_chaos
hobgoblin_archers	chaos_dwarf_group
hobgoblin_bolt_thrower	wh_main_group_chaos
hobgoblin_bolt_thrower	chaos_dwarf_group
hobgoblin_cuthroats	wh_main_group_chaos
hobgoblin_cuthroats	chaos_dwarf_group
hobgoblin_khan	chaos_dwarf_group
hobgoblin_khan_wolf	chaos_dwarf_group
hobgoblin_sneaky_gits	wh_main_group_chaos
hobgoblin_sneaky_gits	chaos_dwarf_group
hobgoblin_wolf_bow_raider	wh_main_group_chaos
hobgoblin_wolf_bow_raider	chaos_dwarf_group
immortals	wh_main_group_chaos
immortals	chaos_dwarf_group
infernal_guard	wh_main_group_chaos
infernal_guard	chaos_dwarf_group
infernal_guard_acolytes	wh_main_group_chaos
infernal_guard_acolytes	chaos_dwarf_group
infernal_guard_deathmask_naphta	wh_main_group_chaos
infernal_guard_deathmask_naphta	chaos_dwarf_group
infernal_guard_great_weapons	wh_main_group_chaos
infernal_guard_great_weapons	chaos_dwarf_group
infernal_guard_zealot	wh_main_group_chaos
infernal_guard_zealot	chaos_dwarf_group
iron_daemon	wh_main_group_chaos
iron_daemon	chaos_dwarf_group
ironsworn	wh_main_group_chaos
ironsworn	chaos_dwarf_group
k'daai_destroyer	wh_main_group_chaos
k'daai_destroyer	chaos_dwarf_group
k'daai_fireborn	wh_main_group_chaos
k'daai_fireborn	chaos_dwarf_group
kollossus	wh_main_group_chaos
kollossus	chaos_dwarf_group
lammasu	wh_main_group_chaos
lammasu	chaos_dwarf_group
lava_troll	wh_main_group_chaos
lava_troll	chaos_dwarf_group
magma_beasts	wh_main_group_chaos
magma_beasts	chaos_dwarf_group
magma_cannon	wh_main_group_chaos
magma_cannon	chaos_dwarf_group
orc_slaves	wh_main_group_chaos
orc_slaves	chaos_dwarf_group
slave_ogre	wh_main_group_chaos
slave_ogre	chaos_dwarf_group
wh_main_chs_art_hellcannon	chaos_dwarf_group
