agent_uniforms_tables	9
filename	uniform_name	battle_filename	campaign_porthole_filename	campaign_politician_filename
wh_main_chs_cha_dwarf_lord	wh_main_chs_cha_dwarf_lord	wh_main_chs_cha_dwarf_lord	wh_main_chs_cha_dwarf_lord	
wh_main_chs_cha_dwarf_lord_mnt	wh_main_chs_cha_dwarf_lord_1	wh_main_chs_cha_dwarf_lord_mnt	wh_main_chs_cha_dwarf_lord	
wh_main_chs_cha_bull_lord	wh_main_chs_cha_bull_lord	wh_main_chs_cha_bull_lord	wh_main_chs_cha_bull_lord	
wh_main_chs_cha_dwarf_sorcerer_fire	wh_main_chs_cha_dwarf_sorcerer_fire	wh_main_chs_cha_dwarf_sorcerer_fire	wh_main_chs_cha_dwarf_sorcerer_fire	
drazhoath_the_ashen	drazhoath_the_ashen	drazhoath_the_ashen	drazhoath_the_ashen	
drazhoath_the_ashen_mnt	drazhoath_the_ashen_1	drazhoath_the_ashen_mnt	drazhoath_the_ashen	
zhatan_the_black	zhatan_the_black	zhatan_the_black	zhatan_the_black	
zhatan_the_black_mnt	zhatan_the_black_1	zhatan_the_black_mnt	zhatan_the_black	
rykarth_the_unbreakable	rykarth_the_unbreakable	rykarth_the_unbreakable	rykarth_the_unbreakable	
wh_main_chs_cha_dwarf_sorcerer_death	wh_main_chs_cha_dwarf_sorcerer_death	wh_main_chs_cha_dwarf_sorcerer_death	wh_main_chs_cha_dwarf_sorcerer_death	
wh_main_chs_cha_dwarf_sorcerer_metal	wh_main_chs_cha_dwarf_sorcerer_metal	wh_main_chs_cha_dwarf_sorcerer_metal	wh_main_chs_cha_dwarf_sorcerer_metal	
wh_main_chs_cha_dwarf_castellan	wh_main_chs_cha_dwarf_castellan	wh_main_chs_cha_dwarf_castellan	wh_main_chs_cha_dwarf_castellan	
wh_main_chs_cha_dwarf_lord_shadow	wh_main_chs_cha_dwarf_lord_shadow	wh_main_chs_cha_dwarf_lord_shadow	wh_main_chs_cha_dwarf_lord_shadow	
wh_main_chs_cha_dwarf_lord_shadow_mnt	wh_main_chs_cha_dwarf_lord_shadow_1	wh_main_chs_cha_dwarf_lord_shadow_mnt	wh_main_chs_cha_dwarf_lord_shadow	
hobgoblin_khan	hobgoblin_khan	hobgoblin_khan	hobgoblin_khan	
hobgoblin_khan_wolf	hobgoblin_khan_wolf	hobgoblin_khan_wolf	hobgoblin_khan_wolf	
hobgoblin_greatkhan1	hobgoblin_greatkhan1	hobgoblin_greatkhan1	hobgoblin_greatkhan1	
hobgoblin_greatkhan2	hobgoblin_greatkhan2	hobgoblin_greatkhan2	hobgoblin_greatkhan2	
hobgoblin_greatsorcerer1	hobgoblin_greatsorcerer1	hobgoblin_greatsorcerer1	hobgoblin_greatsorcerer1	
hobgoblin_greatsorcerer2	hobgoblin_greatsorcerer2	hobgoblin_greatsorcerer2	hobgoblin_greatsorcerer2	
