ui_unit_bullet_point_unit_overrides_tables	0
bullet_point	unit_key
decent_melee	chaos_dwarf_warriors_quarrellers
armoured	chaos_dwarf_warriors_quarrellers
armour_piercing_ranged	chaos_dwarf_annihilators
armoured	chaos_dwarf_annihilators
low_rate_of_fire	chaos_dwarf_annihilators
weak_anti_armour	hobgoblin_hobyars
poison	hobgoblin_hobyars
expendable	hobgoblin_hobyars
shielded	hobgoblin_hobhound_ravagers
very_fast	hobgoblin_hobhound_ravagers
vanguard_deployment	hobgoblin_hobhound_ravagers
very_fast	hobgoblin_wolf_spears
shielded	hobgoblin_wolf_spears
anti_infantry	cd_hellbound_chariot
armour_piercing	cd_hellbound_chariot
armoured	cd_hellbound_chariot
anti_large	chaos_dwarf_annihilators
expendable	hobgoblin_hobhound_ravagers
