campaign_map_attrition_unit_immunities_tables	0
attrition	unit
chaos_territory	chaos_dwarf_warriors_quarrellers
chaos_territory	chaos_dwarf_annihilators
wasteland	hobgoblin_hobyars
chaos_territory	hobgoblin_hobyars
wasteland	hobgoblin_hobhound_ravagers
chaos_territory	hobgoblin_hobhound_ravagers
chaos_territory	hobgoblin_wolf_spears
chaos_territory	cd_hellbound_chariot
wasteland	hobgoblin_wolf_spears
wasteland	chaos_dwarf_annihilators
wasteland	cd_hellbound_chariot
horde_infighting	chaos_dwarf_annihilators
horde_infighting	chaos_dwarf_warriors_quarrellers
wasteland	chaos_dwarf_warriors_quarrellers
