ancillary_to_included_agents_tables	0
ancillary	agent
er_anc_mount_chd_dwarf_lord_shadow_statue_0	general
er_anc_mount_chd_dwarf_lord_shadow_statue_1	general
er_anc_mount_chd_dwarf_lord_shadow_statue_2	general
er_anc_mount_chd_dwarf_sorcerer_death_statue_0	wizard
er_anc_mount_chd_dwarf_sorcerer_death_statue_1	wizard
er_anc_mount_chd_dwarf_sorcerer_death_statue_2	wizard
er_anc_mount_chd_dwarf_sorcerer_fire_statue_0	wizard
er_anc_mount_chd_dwarf_sorcerer_fire_statue_1	wizard
er_anc_mount_chd_dwarf_sorcerer_fire_statue_2	wizard
er_anc_mount_chd_dwarf_sorcerer_metal_statue_0	wizard
er_anc_mount_chd_dwarf_sorcerer_metal_statue_1	wizard
er_anc_mount_chd_dwarf_sorcerer_metal_statue_2	wizard
