campaign_character_uniform_ancillary_junctions_tables	0
ancillary	art_set	uniform
er_anc_mount_chd_dwarf_lord_shadow_statue_0	wh_main_chs_cha_dwarf_lord_shadow	wh_main_chs_cha_dwarf_lord_shadow_mount
er_anc_mount_chd_dwarf_lord_shadow_statue_1	wh_main_chs_cha_dwarf_lord_shadow	wh_main_chs_cha_dwarf_lord_shadow_mount
er_anc_mount_chd_dwarf_lord_shadow_statue_2	wh_main_chs_cha_dwarf_lord_shadow	wh_main_chs_cha_dwarf_lord_shadow_dummy
er_anc_mount_chd_dwarf_sorcerer_death_statue_0	wh_main_chs_cha_dwarf_sorcerer_death	wh_main_chs_cha_dwarf_sorcerer_death_mount
er_anc_mount_chd_dwarf_sorcerer_death_statue_1	wh_main_chs_cha_dwarf_sorcerer_death	wh_main_chs_cha_dwarf_sorcerer_death_mount
er_anc_mount_chd_dwarf_sorcerer_death_statue_2	wh_main_chs_cha_dwarf_sorcerer_death	wh_main_chs_cha_dwarf_sorcerer_fire_dummy
er_anc_mount_chd_dwarf_sorcerer_fire_statue_0	wh_main_chs_cha_dwarf_sorcerer_fire	wh_main_chs_cha_dwarf_sorcerer_fire_mount
er_anc_mount_chd_dwarf_sorcerer_fire_statue_1	wh_main_chs_cha_dwarf_sorcerer_fire	wh_main_chs_cha_dwarf_sorcerer_fire_mount
er_anc_mount_chd_dwarf_sorcerer_fire_statue_2	wh_main_chs_cha_dwarf_sorcerer_fire	wh_main_chs_cha_dwarf_sorcerer_death_dummy
er_anc_mount_chd_dwarf_sorcerer_metal_statue_0	wh_main_chs_cha_dwarf_sorcerer_metal	wh_main_chs_cha_dwarf_sorcerer_metal_mount
er_anc_mount_chd_dwarf_sorcerer_metal_statue_1	wh_main_chs_cha_dwarf_sorcerer_metal	wh_main_chs_cha_dwarf_sorcerer_metal_mount
er_anc_mount_chd_dwarf_sorcerer_metal_statue_2	wh_main_chs_cha_dwarf_sorcerer_metal	wh_main_chs_cha_dwarf_sorcerer_metal_dummy
