character_skill_level_to_ancillaries_junctions_tables	1
granted_ancillary	skill	level
wh_main_anc_mount_chs_great_taurus	wh_main_skill_chs_cha_dwarf_lord_taurus	1
wh_main_anc_mount_chs_cinderbreath	wh_main_skill_chs_cha_drazhoath_cinderbreath	1
wh_main_anc_mount_chs_great_taurus_zhatan	wh_main_skill_chs_cha_dwarf_lord_taurus_zhatan	1
wh_main_anc_mount_chs_lammasu	wh_main_skill_chs_cha_dwarf_lord_lammasu	1
wh_main_anc_drazsceprte_ll1	aalegendaryskill1	1
wh_main_anc_drazcrucib_ll1	aalegendaryskill2	1
wh_main_anc_rykarmour_ll1	aalegendaryskill3	1
wh_main_anc_rykamulet_ll1	aalegendaryskill4	1
wh_main_anc_zhathammer_ll1	aalegendaryskill5	1
wh_main_anc_zhatarmour_ll1	aalegendaryskill6	1
