character_skill_level_to_effects_junctions_tables	1
character_skill_key	effect_key	effect_scope	level	value
aabullcentuniqskill1	wh_main_effect_character_stat_mod_personal_aura_size	character_to_character_own	1	25.0
aabullcentuniqskill1	wh_main_effect_force_all_recruitment_points	general_to_force_own_unseen	1	1.0
aabullcentuniqskill1	wh_main_effect_unit_enable_attribute_guerrilla_deployment	character_to_character_own	1	1.0
aabullcentuniqskill2	wh2_main_effect_character_stat_mod_melee_damage_versus_forces_of_order	general_to_force_own	1	8.0
aabullcentuniqskill2	wh2_main_effect_force_unit_stat_melee_attack_versus_dwarfs	general_to_force_own	1	4.0
aabullcentuniqskill2	wh2_main_effect_character_stat_mod_melee_damage_versus_forces_of_order	general_to_force_own	2	16.0
aabullcentuniqskill2	wh2_main_effect_force_unit_stat_melee_attack_versus_dwarfs	general_to_force_own	2	8.0
aabullcentuniqskill3	wh_main_effect_character_stat_mod_unit_health	general_to_force_own	1	5.0
aabullcentuniqskill3	wh_main_effect_character_stat_mod_unit_health	general_to_force_own	2	10.0
aabullcentuniqskill4	wh_main_effect_force_army_battle_charge_bonus	general_to_force_own	1	7.0
aabullcentuniqskill4	wh_main_effect_force_army_battle_charge_bonus	general_to_force_own	2	14.0
aabullcentuniqskill5	wh_main_effect_force_all_campaign_raid_income	general_to_force_own	1	10.0
aabullcentuniqskill5	wh_main_effect_force_all_campaign_raid_income	general_to_force_own	2	20.0
aabullcentuniqskill5	wh_main_effect_force_unit_stat_morale_attacking	general_to_force_own	1	8.0
aabullcentuniqskill5	wh_main_effect_force_unit_stat_morale_attacking	general_to_force_own	2	16.0
aabullcentuniqskill6	wh_main_effect_force_all_campaign_upkeep	general_to_force_own	1	-10.0
aabullcentuniqskill6	wh_main_effect_unit_enable_attribute_terror	character_to_character_own	1	1.0
aabullcentuniqskill7	wh_main_effect_force_army_battle_movement_speed	general_to_force_own	1	10.0
aabullcentuniqskill7	wh_dlc08_effect_unit_enable_attribute_fear_wulfrik	general_to_force_own	1	1.0
aabullcentuniqskill7	wh_main_effect_character_stat_mod_ap_damage	general_to_force_own	1	4.0
aabullcentuniqskill8	wh_main_effect_force_army_campaign_ambush_attack_success_chance	general_to_force_own	1	15.0
aabullcentuniqskill8	wh_main_effect_unit_enable_attribute_guerrilla_deployment	general_to_force_own	1	1.0
aabullcentuniqskill9	wh_main_effect_unit_enable_attribute_immune_to_psychology	general_to_force_own	1	1.0
aabullcentuniqskill9	wh_main_effect_character_stat_mod_ward_save_magic	general_to_force_own	1	20.0
aabullcentuniqskill9	ads_cdmonsters_upkeep	general_to_force_own	1	-15.0
