variants_tables	6
variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
k'daai_fireborn		cd_k'daai		1.0	1.5	0.05	
k'daai_destroyer		cd_k'daai_destroyer		1.0	2.0	0.0	
bull_centaur_render		cd_bull_centaur_renders		1.0	1.0	0.05	
bull_centaur_render_great_weapons		cd_bull_centaur_taur'ruk		1.0	1.15	0.05	
bull_centaur_ba'hal		cd_bull_centaur_ba'hal		1.0	1.1	0.05	
bull_centaur_ba'hal_guardians		cd_bull_centaur_ba'hal_guardians		1.0	1.1	0.05	
infernal_guard		cd_infernal_guard		1.0	1.0	0.05	
infernal_guard_great_weapons		cd_infernal_guard_great_weapons		1.0	1.0	0.05	
infernal_guard_acolytes		cd_acolytes		1.0	1.0	0.05	
infernal_guard_zealot		cd_zealot		1.0	1.0	0.05	
infernal_guard_deathmask_naphta		cd_deathmask_naphta		1.0	1.0	0.05	
chaos_dwarf_warriors		cd_warriors		1.0	1.0	0.05	
chaos_dwarf_warriors_horde		cd_warriors_horde		1.0	1.0	0.05	
chaos_dwarf_warriors_great_weapons		cd_warriors_great_weapons		1.0	1.0	0.05	
chaos_dwarf_warriors_rifles		cd_warriors_pyrelocks		1.0	1.0	0.05	
hobgoblin_cuthroats		grn_hobgoblins		1.0	1.05	0.05	
hobgoblin_sneaky_gits		grn_hobgoblin_sneaky_git		1.0	1.05	0.05	
hobgoblin_archers		grn_hobgoblin_bowmen		1.0	1.05	0.05	
goblin_slaves		grn_goblin_slaves		1.0	0.8	0.05	
orc_slaves		grn_orc_slaves		1.0	0.9	0.05	
hobgoblin_wolf_bow_raider	VariantMeshes\wh_variantmodels\wf1\grn\grn_giant_wolf\tech	grn_hobgoblin_bowmen		1.05	1.05	0.05	
hobgoblin_bolt_thrower		cd_bolt_thrower		1.0	1.0	0.0	
deathshrieker_rocket_launcher		cd_artillery_crew		1.0	1.0	0.05	
magma_cannon		chs_chaos_dwarf_artillery_crew		1.0	1.0	0.05	
iron_daemon_turret		cd_iron_daemon		1.0	1.0	0.0	
slave_ogre		cd_slave_ogres		1.0	1.9	0.05	
immortals		cd_immortals		1.0	1.0	0.05	
granite_guard		cd_granite_guard		1.0	1.0	0.05	
black_orc_slaves_dual		black_orc_slaves_dual		1.0	1.0	0.05	
hobgoblin_bolt_thrower_crew		grn_hobgoblin_artillery_crew		1.0	1.05	0.05	
lava_troll		cd_lava_troll		1.0	1.0	0.05	
magma_beasts		cd_magma_beasts		1.0	1.0	0.05	
kollossus		cd_kollossus		1.0	5.8	0.0	
ironsworn		cd_ironsworn		1.0	1.0	0.05	
hobgoblin_khan		grn_hobgoblin_khan_sword		1.0	1.25	0.0	
hobgoblin_khan_wolf	VariantMeshes\wh_variantmodels\wf1\grn\grn_giant_wolf\tech	grn_hobgoblin_khan_spear		1.15	1.25	0.0	
