land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
wh_main_unit_passive_relentless	wh_main_chs_cha_dwarf_lord_shadow_2
wh_main_unit_passive_relentless	wh_main_chs_cha_dwarf_lord_shadow_3
wh_main_unit_passive_relentless	wh_main_chs_cha_dwarf_lord_shadow_4
er_cr_unit_abilities_sorcerers_curse	wh_main_chs_cha_dwarf_lord_shadow_4
wh_main_unit_passive_relentless	wh_main_chs_cha_dwarf_sorcerer_death_1
wh_main_unit_passive_relentless	wh_main_chs_cha_dwarf_sorcerer_death_2
wh_main_unit_passive_relentless	wh_main_chs_cha_dwarf_sorcerer_death_3
er_cr_unit_abilities_sorcerers_curse	wh_main_chs_cha_dwarf_sorcerer_death_3
wh_main_unit_passive_relentless	wh_main_chs_cha_dwarf_sorcerer_fire_1
wh_main_unit_passive_relentless	wh_main_chs_cha_dwarf_sorcerer_fire_2
wh_main_unit_passive_relentless	wh_main_chs_cha_dwarf_sorcerer_fire_3
er_cr_unit_abilities_sorcerers_curse	wh_main_chs_cha_dwarf_sorcerer_fire_3
wh_main_unit_passive_relentless	wh_main_chs_cha_dwarf_sorcerer_metal_1
wh_main_unit_passive_relentless	wh_main_chs_cha_dwarf_sorcerer_metal_2
wh_main_unit_passive_relentless	wh_main_chs_cha_dwarf_sorcerer_metal_3
er_cr_unit_abilities_sorcerers_curse	wh_main_chs_cha_dwarf_sorcerer_metal_3
