ui_unit_bullet_point_unit_overrides_tables	0
bullet_point	unit_key
charge_reflector	wh_main_chs_cha_dwarf_lord_shadow_2
spellcaster	wh_main_chs_cha_dwarf_lord_shadow_2
charge_reflector	wh_main_chs_cha_dwarf_lord_shadow_3
spellcaster	wh_main_chs_cha_dwarf_lord_shadow_3
charge_reflector	wh_main_chs_cha_dwarf_lord_shadow_4
magical_aura	wh_main_chs_cha_dwarf_lord_shadow_4
charge_reflector	wh_main_chs_cha_dwarf_sorcerer_death_1
spellcaster	wh_main_chs_cha_dwarf_sorcerer_death_1
charge_reflector	wh_main_chs_cha_dwarf_sorcerer_death_2
spellcaster	wh_main_chs_cha_dwarf_sorcerer_death_2
charge_reflector	wh_main_chs_cha_dwarf_sorcerer_death_3
magical_aura	wh_main_chs_cha_dwarf_sorcerer_death_3
charge_reflector	wh_main_chs_cha_dwarf_sorcerer_fire_1
spellcaster	wh_main_chs_cha_dwarf_sorcerer_fire_1
charge_reflector	wh_main_chs_cha_dwarf_sorcerer_fire_2
spellcaster	wh_main_chs_cha_dwarf_sorcerer_fire_2
charge_reflector	wh_main_chs_cha_dwarf_sorcerer_fire_3
magical_aura	wh_main_chs_cha_dwarf_sorcerer_fire_3
charge_reflector	wh_main_chs_cha_dwarf_sorcerer_metal_1
spellcaster	wh_main_chs_cha_dwarf_sorcerer_metal_1
charge_reflector	wh_main_chs_cha_dwarf_sorcerer_metal_2
spellcaster	wh_main_chs_cha_dwarf_sorcerer_metal_2
charge_reflector	wh_main_chs_cha_dwarf_sorcerer_metal_3
magical_aura	wh_main_chs_cha_dwarf_sorcerer_metal_3
