effect_bonus_value_ids_unit_sets_tables	0
bonus_value_id	effect	unit_set
ammo_mod	ads_hashutammo_rank7	aachaosdwarftag_rank7_ranged
ammo_mod	ads_hashutammo_rank7	aahobgobrangedtag_rank7
melee_damage_mod_mult	ads_hashutdamage_rank7	aabullcentplustag_rank7
melee_damage_ap_mod_mult	ads_hashutdamage_rank7	aabullcentplustag_rank7
melee_damage_mod_mult	ads_hashutdamage_rank7	aafireborntag_rank7
melee_damage_ap_mod_mult	ads_hashutdamage_rank7	aafireborntag_rank7
mod_land_movement_battle	ads_hashutspeed_rank7	aachaosdwarftag_rank7_ranged
mod_land_movement_battle	ads_hashutspeed_rank7	aahobgobrangedtag_rank7
mod_land_movement_battle	ads_hashutspeed_rank7	aaartillerycdtag_rank7
melee_attack_mod	ads_hashutattack_rank7	aabullcentplustag_rank7
melee_attack_mod	ads_hashutattack_rank7	aafireborntag_rank7
range_mod	ads_hashutrange_rank7	aachaosdwarftag_rank7_ranged
range_mod	ads_hashutrange_rank7	aahobgobrangedtag_rank7
reload	ads_hashutreload_rank7	aachaosdwarftag_rank7_ranged
reload	ads_hashutreload_rank7	aahobgobrangedtag_rank7
reload	ads_hashutreload_rank7	aaartillerycdtag_rank7
unit_damage_resistance_physical_mod	ads_hashutphysres_rank7	aabullcentplustag_rank7
unit_damage_resistance_physical_mod	ads_hashutphysres_rank7	aafireborntag_rank7
unit_damage_resistance_missile_mod	ads_relentlessmissres_rank7	aachaosdwarftag_rank7_ranged
unit_damage_resistance_missile_mod	ads_relentlessmissres_rank7	aachaosdwarftag_rank7
unit_damage_resistance_missile_mod	ads_relentlessmissres_rank7	aahobgobrangedtag_rank7
unit_damage_resistance_missile_mod	ads_relentlessmissres_rank7	aahobgoblintag_rank7
unit_damage_resistance_missile_mod	ads_relentlessmissres_rank7	aaartillerycdtag_rank7
melee_damage_mod_mult	ads_darkcraftdamage_rank7	aachaosdwarftag_rank7
melee_damage_mod_mult	ads_darkcraftdamage_rank7	aahobgoblintag_rank7
melee_damage_mod_mult	ads_darkcraftdamage_rank7	aawarmachinecdtag_rank7
melee_damage_ap_mod_mult	ads_darkcraftdamage_rank7	aachaosdwarftag_rank7
melee_damage_ap_mod_mult	ads_darkcraftdamage_rank7	aahobgoblintag_rank7
melee_damage_ap_mod_mult	ads_darkcraftdamage_rank7	aawarmachinecdtag_rank7
