cdir_military_generator_unit_qualities_tables	1
group_key	quality	unit_key
Default_land_infantry_melee	20	black_orc_slaves_dual
Default_land_cavalry_melee	15	bull_centaur_ba'hal
Default_land_cavalry_melee	18	bull_centaur_ba'hal_guardians
Default_land_cavalry_melee	15	bull_centaur_render
Default_land_cavalry_melee	20	bull_centaur_render_great_weapons
Default_land_infantry_melee	5	chaos_dwarf_warriors
Default_land_infantry_melee	10	chaos_dwarf_warriors_great_weapons
Default_land_infantry_missile	10	chaos_dwarf_warriors_rifles
Default_land_artillery	25	deathshrieker_rocket_launcher
Default_land_artillery	15	dreadquake_mortar
Default_land_infantry_melee	5	goblin_slaves
Default_land_monster	15	great_taurus
Default_land_infantry_missile	5	hobgoblin_archers
Default_land_artillery	10	hobgoblin_bolt_thrower
Default_land_infantry_melee	5	hobgoblin_cuthroats
Default_land_infantry_melee	10	hobgoblin_sneaky_gits
Default_land_cavalry_missile	5	hobgoblin_wolf_bow_raider
Default_land_infantry_melee	20	immortals
Default_land_infantry_melee	23	granite_guard
Default_land_infantry_melee	15	infernal_guard
Default_land_infantry_melee	25	infernal_guard_acolytes
Default_land_infantry_missile	15	infernal_guard_deathmask_naphta
Default_land_infantry_melee	15	infernal_guard_great_weapons
Default_land_infantry_melee	15	infernal_guard_zealot
Default_land_artillery	25	iron_daemon
Default_land_infantry_melee	15	k'daai_destroyer
Default_land_infantry_melee	20	k'daai_fireborn
Default_land_monster	20	lammasu
Default_land_artillery	15	magma_cannon
Default_land_infantry_melee	10	orc_slaves
Default_land_infantry_melee	15	slave_ogre
Default_land_monster	10	lava_troll
Default_land_monster	13	magma_beasts
Default_land_monster	25	kollossus
Default_land_monster	25	cr_chd_mon_siege_giant
Default_land_infantry_melee	18	ironsworn
