campaign_map_attrition_unit_immunities_tables	0
attrition	unit
horde_infighting	wh_main_chs_cha_dwarf_lord_shadow_2
chaos_territory	wh_main_chs_cha_dwarf_lord_shadow_2
wasteland	wh_main_chs_cha_dwarf_lord_shadow_2
horde_infighting	wh_main_chs_cha_dwarf_lord_shadow_3
chaos_territory	wh_main_chs_cha_dwarf_lord_shadow_3
wasteland	wh_main_chs_cha_dwarf_lord_shadow_3
horde_infighting	wh_main_chs_cha_dwarf_lord_shadow_4
chaos_territory	wh_main_chs_cha_dwarf_lord_shadow_4
wasteland	wh_main_chs_cha_dwarf_lord_shadow_4
horde_infighting	wh_main_chs_cha_dwarf_sorcerer_death_1
chaos_territory	wh_main_chs_cha_dwarf_sorcerer_death_1
wasteland	wh_main_chs_cha_dwarf_sorcerer_death_1
horde_infighting	wh_main_chs_cha_dwarf_sorcerer_death_2
chaos_territory	wh_main_chs_cha_dwarf_sorcerer_death_2
wasteland	wh_main_chs_cha_dwarf_sorcerer_death_2
horde_infighting	wh_main_chs_cha_dwarf_sorcerer_death_3
chaos_territory	wh_main_chs_cha_dwarf_sorcerer_death_3
wasteland	wh_main_chs_cha_dwarf_sorcerer_death_3
horde_infighting	wh_main_chs_cha_dwarf_sorcerer_fire_1
chaos_territory	wh_main_chs_cha_dwarf_sorcerer_fire_1
wasteland	wh_main_chs_cha_dwarf_sorcerer_fire_1
horde_infighting	wh_main_chs_cha_dwarf_sorcerer_fire_2
chaos_territory	wh_main_chs_cha_dwarf_sorcerer_fire_2
wasteland	wh_main_chs_cha_dwarf_sorcerer_fire_2
horde_infighting	wh_main_chs_cha_dwarf_sorcerer_fire_3
chaos_territory	wh_main_chs_cha_dwarf_sorcerer_fire_3
wasteland	wh_main_chs_cha_dwarf_sorcerer_fire_3
horde_infighting	wh_main_chs_cha_dwarf_sorcerer_metal_1
chaos_territory	wh_main_chs_cha_dwarf_sorcerer_metal_1
wasteland	wh_main_chs_cha_dwarf_sorcerer_metal_1
horde_infighting	wh_main_chs_cha_dwarf_sorcerer_metal_2
chaos_territory	wh_main_chs_cha_dwarf_sorcerer_metal_2
wasteland	wh_main_chs_cha_dwarf_sorcerer_metal_2
horde_infighting	wh_main_chs_cha_dwarf_sorcerer_metal_3
chaos_territory	wh_main_chs_cha_dwarf_sorcerer_metal_3
wasteland	wh_main_chs_cha_dwarf_sorcerer_metal_3
