special_ability_groups_to_unit_abilities_junctions_tables	1
special_ability_groups	unit_special_abilities
wh_main_lore_jaffar	wh_dlc05_lore_passive_smoke_and_mirrors
wh_main_lore_jaffar	ovn_lore_passive_blessing_of_the_elements
wh_main_lore_jaffar	wh_main_lore_passive_life_leeching
wh_main_lore_jaffar	wh_main_spell_death_spirit_leech
wh_main_lore_jaffar	wh_main_spell_death_doom_and_darkness
wh_main_lore_jaffar	wh_dlc05_spell_shadow_the_penumbral_pendulum
wh_main_lore_jaffar	wh_dlc05_spell_shadow_the_enfeebling_foe
wh_main_lore_jaffar	ovn_spell_desert_mirage
wh_main_lore_jaffar	ovn_spell_desert_sandstorm
