ancillary_included_subcultures_tables	0
ancillary	subculture
wh_dlc01_anc_mount_chs_chaos_lord_chaos_dragon	wh_main_sc_nor_norsca
wh_dlc01_anc_mount_chs_chaos_lord_manticore	wh_main_sc_nor_norsca
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_death_barded_chaos_steed	wh_main_sc_nor_norsca
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_death_chaos_steed	wh_main_sc_nor_norsca
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_death_dragon	wh_main_sc_nor_norsca
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_death_manticore	wh_main_sc_nor_norsca
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_fire_barded_chaos_steed	wh_main_sc_nor_norsca
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_fire_chaos_steed	wh_main_sc_nor_norsca
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_fire_dragon	wh_main_sc_nor_norsca
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_fire_manticore	wh_main_sc_nor_norsca
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_metal_barded_chaos_steed	wh_main_sc_nor_norsca
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_metal_chaos_steed	wh_main_sc_nor_norsca
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_metal_dragon	wh_main_sc_nor_norsca
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_metal_manticore	wh_main_sc_nor_norsca
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_shadow_barded_chaos_steed	wh_main_sc_nor_norsca
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_shadow_chaos_steed	wh_main_sc_nor_norsca
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_shadow_dragon	wh_main_sc_nor_norsca
wh_dlc01_anc_mount_chs_chaos_sorcerer_lord_shadow_manticore	wh_main_sc_nor_norsca
wh_dlc01_anc_mount_chs_chaos_sorcerer_shadow_barded_chaos_steed	wh_main_sc_nor_norsca
wh_dlc01_anc_mount_chs_chaos_sorcerer_shadow_chaos_steed	wh_main_sc_nor_norsca
wh_dlc01_anc_mount_chs_chaos_sorcerer_shadow_manticore	wh_main_sc_nor_norsca
wh_dlc01_anc_mount_chs_exalted_hero_manticore	wh_main_sc_nor_norsca
wh_dlc01_anc_mount_nor_chaos_sorcerer_lord_warhorse	wh_main_sc_nor_norsca
wh_main_anc_mount_chs_archaon_dorghar	wh_main_sc_nor_norsca
wh_main_anc_mount_chs_chaos_lord_barded_chaos_steed	wh_main_sc_nor_norsca
wh_main_anc_mount_chs_chaos_lord_chaos_steed	wh_main_sc_nor_norsca
wh_main_anc_mount_chs_chaos_sorcerer_death_barded_chaos_steed	wh_main_sc_nor_norsca
wh_main_anc_mount_chs_chaos_sorcerer_death_chaos_steed	wh_main_sc_nor_norsca
wh_main_anc_mount_chs_chaos_sorcerer_fire_barded_chaos_steed	wh_main_sc_nor_norsca
wh_main_anc_mount_chs_chaos_sorcerer_fire_chaos_steed	wh_main_sc_nor_norsca
wh_main_anc_mount_chs_chaos_sorcerer_metal_barded_chaos_steed	wh_main_sc_nor_norsca
wh_main_anc_mount_chs_chaos_sorcerer_metal_chaos_steed	wh_main_sc_nor_norsca
wh_main_anc_mount_chs_exalted_hero_barded_chaos_steed	wh_main_sc_nor_norsca
wh_main_anc_mount_chs_exalted_hero_chaos_steed	wh_main_sc_nor_norsca
wh_main_anc_mount_nor_chaos_sorcerer_warhorse	wh_main_sc_nor_norsca
wh_main_anc_mount_nor_marauder_chieftain_warhorse	wh_main_sc_nor_norsca
