effect_bonus_value_agent_junction_tables	0
effect	bonus_value_id	agent
wh_main_effect_agent_enable_recruitment_fieldwarden	availability	spy
wh_main_effect_agent_cap_increase_spy_fieldwarden	cap	spy
wh_main_effect_agent_cap_increase_fieldwarden_level	recruitment_level	spy
wh_main_effect_agent_enable_recruitment_master_chef	availability	dignitary
wh_main_effect_agent_cap_increase_dignatary_master_chef	cap	dignitary
wh_main_effect_agent_cap_increase_master_chef_level	recruitment_level	dignitary
wh_main_effect_agent_enable_recruitment_sheriff	availability	champion
wh_main_effect_agent_cap_increase_champion_sheriff	cap	champion
wh_main_effect_agent_cap_increase_sheriff_level	recruitment_level	champion
