key	faction	primary_colour_b	primary_colour_g	primary_colour_r	secondary_colour_b	secondary_colour_g	secondary_colour_r	soldier_type	tertiary_colour_b	tertiary_colour_g	tertiary_colour_r	unit_variant	subculture
#unit_variants_colours_tables;5;db/unit_variants_colours_tables/ovn_arb_vizier													
8728808687		61	103	149	15	25	75	soldier	0	0	0	arb_vizier_fire_0_1	
8728808688		61	103	149	15	25	75	soldier	0	0	0	arb_vizier_fire_1_1	
8728808689		61	103	149	15	25	75	soldier	0	0	0	arb_vizier_fire_1_2	
8728808690		61	103	149	15	25	75	soldier	0	0	0	arb_vizier_fire_2_1	
8728808691		61	103	149	15	25	75	soldier	0	0	0	arb_vizier_fire_2_1	
8728808692		61	103	149	15	25	75	soldier	0	0	0	arb_vizier_fire_2_2	
8728808693		110	128	73	29	67	40	soldier	0	0	0	arb_vizier_life_0_1	
8728808694		73	128	110	40	67	29	soldier	0	0	0	arb_vizier_life_1_1	
8728808695		73	128	110	40	67	29	soldier	0	0	0	arb_vizier_life_1_2	
8728808696		73	128	110	40	67	29	soldier	0	0	0	arb_vizier_life_2_1	
8728808697		73	128	110	40	67	29	soldier	0	0	0	arb_vizier_life_2_1	
8728808698		73	128	110	40	67	29	soldier	0	0	0	arb_vizier_life_2_2	
8728808699		75	77	134	27	20	76	soldier	0	0	0	arb_vizier_heavens_0_1	
8728808700		75	77	134	27	20	76	soldier	0	0	0	arb_vizier_heavens_1_1	
8728808701		75	77	134	27	20	76	soldier	0	0	0	arb_vizier_heavens_1_2	
8728808702		75	77	134	27	20	76	soldier	0	0	0	arb_vizier_heavens_2_1	
8728808703		75	77	134	27	20	76	soldier	0	0	0	arb_vizier_heavens_2_1	
8728808704		75	77	134	27	20	76	soldier	0	0	0	arb_vizier_heavens_2_2	
8728808705		157	138	71	97	69	33	soldier	0	0	0	arb_vizier_desert_0_1	
8728808706		157	138	71	97	69	33	soldier	0	0	0	arb_vizier_desert_1_1	
8728808707		157	138	71	97	69	33	soldier	0	0	0	arb_vizier_desert_1_2	
8728808708		157	138	71	97	69	33	soldier	0	0	0	arb_vizier_desert_2_1	
8728808709		157	138	71	97	69	33	soldier	0	0	0	arb_vizier_desert_2_1	
8728808710		157	138	71	97	69	33	soldier	0	0	0	arb_vizier_desert_2_2	
