effects_tables	3
effect	icon	priority	icon_negative	category	is_positive_value_good
fim_skattach_fimir_magic_res	resistance_magic.png	101	resistance_magic.png	battle	true
fim_skattach_daemon_damage	melee.png	100	melee.png	battle	true
fim_skattach_fianna_damage	melee.png	100	melee.png	battle	true
fim_skattach_fianna_defence	defence.png	100	defence.png	battle	true
fim_skattach_fianna_upkeep	military_spending.png	105	military_spending.png	campaign	false
fim_skattach_enable_poison_mist	general_ability.png	600	general_ability.png	battle	true
fim_skattach_apprentices_range	accuracy.png	105	accuracy.png	campaign	true
fim_skattach_apprentices_damage	ranged_damage.png	105	ranged_damage.png	campaign	true
fim_skattach_enable_summon_bloodletter	general_ability.png	600	general_ability.png	battle	true
fim_skattach_enable_staff_ability	general_ability.png	600	general_ability.png	battle	true
