event	group	target	flavour_text	image	secondary_detail	layout	layout_data	sound_event	context_located	override_icon
#event_feed_message_events_tables;3;db/event_feed_message_events_tables/ovn										
scripted_persistent_located_event	ovn_halfling_cooking_ingredient_unlocked	event_feed_target_faction	wh_event_feed_string_all_null	ovn/halfling_forage	wh_event_feed_string_scripted_event_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Positive	event_feed_none	halfling_forage.png
scripted_persistent_event	ovn_event_pic_beast	event_feed_target_faction	wh_event_feed_string_all_null	ovn/cod_beast_invasion	wh_event_feed_string_scripted_event_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none	event_icon_beast.png
scripted_persistent_event	ovn_event_pic_cod_invasion	event_feed_target_faction	wh_event_feed_string_all_null	ovn/cod_invasion	wh_event_feed_string_scripted_event_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none	event_navy_negative.png
scripted_persistent_event	ovn_event_pic_cod_supply	event_feed_target_faction	wh_event_feed_string_all_null	ovn/cod_supply	wh_event_feed_string_scripted_event_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Positive	event_feed_none	event_navy_positive.png
scripted_persistent_event	ovn_event_pic_troll_leave	event_feed_target_faction	wh_event_feed_string_all_null	ovn/troll_leave	wh_event_feed_string_scripted_event_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Positive	event_feed_none	event_death_negative.png
scripted_persistent_event	ovn_event_pic_troll_cannibal	event_feed_target_faction	wh_event_feed_string_all_null	ovn/troll_cannibal	wh_event_feed_string_scripted_event_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Positive	event_feed_none	event_death_negative.png
scripted_persistent_event	ovn_event_pic_arb_invasion	event_feed_target_faction	wh_event_feed_string_all_null	ovn/arb_invasion	wh_event_feed_string_scripted_event_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Positive	event_feed_none	event_military_negative.png
scripted_persistent_event	ovn_albion_how_they_play_event	event_feed_target_faction	wh_event_feed_string_all_null	nor/albion_dilemma	wh_event_feed_string_scripted_event_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none	event_commander_activity_positive.png
scripted_persistent_event	ovn_hlf_how_they_play_event	event_feed_target_faction	wh_event_feed_string_all_null	ovn/halfling_forage	wh_event_feed_string_scripted_event_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none	event_commander_activity_positive.png
scripted_persistent_event	ovn_chorfs_how_they_play_event	event_feed_target_faction	wh_event_feed_string_all_null	chs/faction	wh_event_feed_string_scripted_event_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none	event_commander_activity_positive.png
scripted_persistent_event	ovn_rot_how_they_play_event	event_feed_target_faction	wh_event_feed_string_all_null	chs/rotblood_dilemma	wh_event_feed_string_scripted_event_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none	event_commander_activity_positive.png
scripted_persistent_event	ovn_event_pic_rotblood_invasion	event_feed_target_faction	wh_event_feed_string_all_null	ovn/rotblood_invasion	wh_event_feed_string_scripted_event_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none	event_commander_activity_positive.png
