campaign_map_attrition_unit_immunities_tables	0
attrition	unit
non_vampire_territory	roy_arb_cha_nomad
non_vampire_territory	roy_arb_cha_nomad_horse
non_vampire_territory	roy_arb_cha_champion
non_vampire_territory	roy_arb_cha_champion_elephant
non_vampire_territory	roy_arb_cha_champion_horse
non_vampire_territory	roy_arb_cha_champion_warhorse
non_vampire_territory	roy_arb_cha_lord_horse
non_vampire_territory	roy_arb_cha_nomad_assassin
desert	roy_arb_cha_nomad
desert	roy_arb_cha_nomad_horse
desert	roy_arb_cha_champion
desert	roy_arb_cha_champion_elephant
desert	roy_arb_cha_champion_horse
desert	roy_arb_cha_champion_warhorse
desert	roy_arb_cha_lord_horse
desert	roy_arb_cha_nomad_assassin
