frontend_faction_leaders_tables	19
uniform	x_offset	y_offset	key	character_image	prelude_battle	video	loading_screen_image	loading_screen_intro_video	override_force_location_x	override_force_location_y	voiceover	show_full_intro_option	difficulty	startpos_map
composite_scene/front_end_selection/ungrim_ironfist_selection.csc	0.0	0.0	wh2_main_political_party_arb_aswad_scythans	ui\Portraits\Faction_leaders\araby_scythans.png		front_end_selection_movies/haz_scythan_frontend	ui/loading_ui/load_images/scythan_load.png		-1.0	-1.0	wh_main_vo_actor_default	false	normal	ovn_me_scythan
composite_scene/front_end_selection/ungrim_ironfist_selection.csc	0.0	0.0	wh2_main_political_party_arb_caliphate_of_araby	ui\Portraits\Faction_leaders\araby.png		front_end_selection_movies/jaffar_frontend	ui/loading_ui/load_images/araby_load.png		-1.0	-1.0	wh_main_vo_actor_default	false	hard	ovn_me_arb
composite_scene/front_end_selection/ungrim_ironfist_selection.csc	0.0	0.0	wh2_main_political_party_arb_flaming_scimitar	ui\Portraits\Faction_leaders\araby_scimitar.png		Front_end_selection_movies/alberic_front_end	ui/loading_ui/load_images/scimitar_load.png		-1.0	-1.0	wh_main_vo_actor_default	false	very_hard	ovn_me_scimitar
composite_scene/front_end_selection/ungrim_ironfist_selection.csc	0.0	0.0	wh2_main_political_party_emp_grudgebringers	ui\Portraits\Faction_leaders\grudgebringer.png		Front_end_selection_movies/alberic_front_end	ui/loading_ui/load_images/grudge_load.png		-1.0	-1.0	wh_main_vo_actor_default	false	very_hard	ovn_me_grudge
composite_scene/front_end_selection/ungrim_ironfist_selection.csc	0.0	0.0	wh2_main_political_party_emp_the_moot	ui\Portraits\Faction_leaders\mootland.png		Front_end_selection_movies/alberic_front_end	ui/loading_ui/load_images/halfling_load.png		-1.0	-1.0	wh_main_vo_actor_default	false	very_hard	ovn_me_hlf
composite_scene/front_end_selection/ungrim_ironfist_selection.csc	0.0	0.0	wh2_main_political_party_hef_citadel_of_dusk	ui\Portraits\Faction_leaders\cod_as.png		Front_end_selection_movies/alberic_front_end	ui/loading_ui/load_images/stormrider_load.png		-1.0	-1.0	wh_main_vo_actor_default	false	very_hard	ovn_me_dusk
composite_scene/front_end_selection/ungrim_ironfist_selection.csc	0.0	0.0	wh2_main_political_party_amz_amazons	ui\Portraits\Faction_leaders\amazon.png		Front_end_selection_movies/alberic_front_end	ui/loading_ui/load_images/amazon_load.png		-1.0	-1.0	wh_main_vo_actor_default	false	hard	ovn_me_amazons
composite_scene/front_end_selection/ungrim_ironfist_selection.csc	0.0	0.0	wh2_main_political_party_nor_albion	ui\Portraits\Faction_leaders\albion.png		Front_end_selection_movies/alberic_front_end	ui/loading_ui/load_images/albion_load.png		-1.0	-1.0	wh_main_vo_actor_default	false	hard	ovn_me_albion
composite_scene/front_end_selection/ungrim_ironfist_selection.csc	0.0	0.0	wh2_main_political_party_nor_trollz	ui\Portraits\Faction_leaders\trollz.png		Front_end_selection_movies/throgg_front_end	ui/loading_ui/load_images/troll_load.png		-1.0	-1.0	wh_main_vo_actor_default	false	easy	ovn_me_troll
composite_scene/front_end_selection/ungrim_ironfist_selection.csc	0.0	0.0	wh2_main_political_party_vor_arb_aswad_scythans	ui\Portraits\Faction_leaders\araby_scythans.png		front_end_selection_movies/haz_scythan_frontend	ui/loading_ui/load_images/scythan_load.png		-1.0	-1.0	wh_main_vo_actor_default	false	normal	ovn_vor_scythan
composite_scene/front_end_selection/ungrim_ironfist_selection.csc	0.0	0.0	wh2_main_political_party_vor_arb_caliphate_of_araby	ui\Portraits\Faction_leaders\araby.png		front_end_selection_movies/jaffar_frontend	ui/loading_ui/load_images/araby_load.png		-1.0	-1.0	wh_main_vo_actor_default	false	normal	ovn_vor_arb
composite_scene/front_end_selection/ungrim_ironfist_selection.csc	0.0	0.0	wh2_main_political_party_vor_arb_flaming_scimitar	ui\Portraits\Faction_leaders\araby_scimitar.png		Front_end_selection_movies/alberic_front_end	ui/loading_ui/load_images/scimitar_load.png		-1.0	-1.0	wh_main_vo_actor_default	false	very_hard	ovn_vor_scimitar
composite_scene/front_end_selection/ungrim_ironfist_selection.csc	0.0	0.0	wh2_main_political_party_vor_amz_amazons	ui\Portraits\Faction_leaders\amazon.png		Front_end_selection_movies/alberic_front_end	ui/loading_ui/load_images/amazon_load.png		-1.0	-1.0	wh_main_vo_actor_default	false	normal	ovn_vor_amazon
composite_scene/front_end_selection/ungrim_ironfist_selection.csc	0.0	0.0	wh2_main_political_party_vor_nor_albion	ui\Portraits\Faction_leaders\albion.png		Front_end_selection_movies/alberic_front_end	ui/loading_ui/load_images/albion_load.png		-1.0	-1.0	wh_main_vo_actor_default	false	normal	ovn_vor_albion
