ui_unit_bullet_point_unit_overrides_tables	0
bullet_point	unit_key
armoured	elo_liche_general
spellcaster	elo_liche_general
armoured	elo_liche_general_barded_steed
spellcaster	elo_liche_general_barded_steed
armoured	elo_tomb_guardian_archers
good_range	elo_tomb_guardian_archers
armoured	elo_liche_general_warsphinx
spellcaster	elo_liche_general_warsphinx
anti_infantry	elo_liche_general_warsphinx
armour_piercing	elo_liche_general_warsphinx
armoured	elo_tomb_guardian_2h_waepons_summoned
armoured_and_shielded	elo_tomb_guardian_spears_summoned
armour_piercing	elo_tomb_guardian_2h_waepons_summoned
anti_large	elo_tomb_guardian_spears_summoned
armoured	elo_liche_general_chariot
spellcaster	elo_liche_general_chariot
armour_piercing	elo_liche_general_chariot
anti_infantry	elo_liche_general_chariot
