projectiles_tables	46
key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_cavalry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	is_grapple	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	scaling_damage	vegetation_ignore_time
grudge_wh_dwf_cannon_ball	artillery	artillery_default		none	1	low	450	10	40	100.0	30.0	0.0	300	1000	true	false	0.1	22.0	275.0	8.0	0	0	0	wh_dwf_cannon_ball		wh_cannon_cannonball_normal	0.3	true		false	-1.0	1	0.0	350.0			0.0	false	true	45	very_high_low_entity	-1	false	false	true	false	1	false	false	true	true		0.0
grudge_wh_emp_great_cannon_ball	artillery	artillery_default		none	1	low	400	10	40	150.0	20.0	0.0	250	800	true	false	0.1	22.0	350.0	9.0	0	0	0	wh_emp_cannon_ball		wh_cannon_cannonball_normal	0.3	true		false	-1.0	1	0.0	350.0			0.0	false	true	45	very_high_low_entity	-1	false	false	true	false	1	false	false	true	true		0.0
grudge_wh_emp_mortar_shell	artillery	artillery_default	grudge_wh_main_emp_mortar_explosion	axe_spin	1	fixed	350	40	56	68.0	10.0	0.0	100	30	false	false	0.16	15.0	300.0	400.0	0	0	0	wh_emp_mortar		wh_mortar_cannonball	0.2	true		false	-1.0	1	0.0	50.0			0.0	false	true	52	low	-1	false	false	false	false	1	false	false	true	true		0.0
grudge_wh_emp_great_cannon_ball_canister	artillery	artillery_canister		none	90	low	150	0	40	100.0	10.0	5.0	20	5	false	false	0.05	15.0	180.0	15.0	15	0	0	wh_emp_rifle_bullet		wh_bullet	0.3	false		false	-1.0	1	0.0	5.0			0.0	false	true	45	very_high_low_entity	-1	false	false	false	true	1	false	false	true	false		0.0
grudge_wh_emp_great_cannon_ball_canister_my	artillery	artillery_canister		none	60	low	230	0	40	150.0	10.0	4.0	25	30	false	false	0.05	22.0	180.0	15.0	10	0	0	wh_emp_rifle_bullet		wh_bullet	0.3	false		false	-1.0	1	0.0	5.0			0.0	false	true	45	very_low	-1	false	false	false	true	1	false	false	true	false		0.0
grudge_wh_emp_blasting_charge	artillery	artillery_canister	grudge_wh_main_dwf_blasting_charge_explosion	grenade_spin	9	dual_low_fixed	200	7	88	50.0	10.0	4.0	30	10	true	false	0.2	15.0	180.0	2.0	10	0	0	wh_dwf_drakegun_trollhammer			-1.0	false		false	-1.0	1	0.0	20.0			10.0	false	false	55	very_low	-1	false	false	true	false	1	false	false	false	false		0.0
grudge_wh_dlc05_wef_swiftshiver_arrow	arrow	small_arm_flaming		none	2	dual_low_fixed	140	0	88	45.0	10.0	1.6	14	4	false	false	0.1	11.0	85.0	4.2	0	0	0	wh_dlc05_wef_swiftshiver_arrow		wh_bow_arrow_magical	-1.0	false		false	-1.0	1	0.0	3.0			0.0	true	true	45	very_low	-1	false	false	false	true	1	false	false	false	false		0.93333334
grudge_character_abilities_volley_of_high_arrows	arrow	small_arm_default		none	3	fixed	170	5	65	100.0	10.0	7.0	0	20	false	false	1.0	20.0	150.0	0.1	0	0	0	wh_dlc05_wef_swiftshiver_arrow		wh2_main_ability_volley_of_high_arrows	0.5	false		false	20.0	1	0.0	3.0	wh_dlc05_spell_arrow_of_kurnous		0.0	false	true	25	very_high_magic	-1	false	false	false	false	1	false	false	false	false		0.42
grudge_character_abilities_volley_of_dark_arrows	arrow	small_arm_default		none	3	fixed	170	5	65	100.0	10.0	10.0	20	14	false	false	1.0	20.0	150.0	0.1	0	0	0	wh_brt_longbow_arrow_fire		wh2_main_ability_volley_of_dark_arrows	0.5	false	wh_main_unit_contact_morale	false	20.0	1	0.0	3.0	wh_dlc05_spell_arrow_of_kurnous		1.0	false	true	25	very_high_magic	-1	false	false	false	false	1	false	false	false	false		0.42
grudge_wef_arrow_of_kurnous	arrow	small_arm_default		none	3	fixed	170	5	65	100.0	10.0	8.0	40	0	false	false	1.0	20.0	150.0	0.1	0	0	0	wh_brt_longbow_arrow_pox		wh_dlc05_weapon_abilities_arrow_of_kurnous	0.5	false	wh_main_unit_contact_poison	false	20.0	1	0.0	3.0	wh_dlc05_spell_arrow_of_kurnous		0.0	false	true	25	very_high_magic	-1	false	false	false	false	1	false	false	false	false		0.42
