member	subculture
#campaign_group_member_criteria_subcultures_tables;0;db/campaign_group_member_criteria_subcultures_tables/ovn_fimir_sc	
wh2_climate_nor_regular_chaotic	wh_main_sc_nor_fimir
wh2_climate_nor_regular_desert	wh_main_sc_nor_fimir
wh2_climate_nor_regular_frozen	wh_main_sc_nor_fimir
wh2_climate_nor_regular_island	wh_main_sc_nor_fimir
wh2_climate_nor_regular_jungle	wh_main_sc_nor_fimir
wh2_climate_nor_regular_magicforest	wh_main_sc_nor_fimir
wh2_climate_nor_regular_mountain	wh_main_sc_nor_fimir
wh2_climate_nor_regular_ocean	wh_main_sc_nor_fimir
wh2_climate_nor_regular_savannah	wh_main_sc_nor_fimir
wh2_climate_nor_regular_temperate	wh_main_sc_nor_fimir
wh2_climate_nor_regular_wasteland	wh_main_sc_nor_fimir
wh_event_feed_cult_fimir_battle_attack_outcome_defeat	wh_main_sc_nor_fimir
wh_event_feed_cult_fimir_battle_attack_outcome_draw	wh_main_sc_nor_fimir
wh_event_feed_cult_fimir_battle_attack_outcome_victory	wh_main_sc_nor_fimir
wh_feature_nor_fimir	wh_main_sc_nor_fimir
ovn_fimir_alt_occupation_decision_treasure_hunt	wh_main_sc_nor_fimir
ovn_fimir_alt_occupation_decision_colonise	wh_main_sc_nor_fimir
ovn_fimir_alt_occupation_decision_do_nothing	wh_main_sc_nor_fimir
ovn_fimir_alt_occupation_decision_loot	wh_main_sc_nor_fimir
ovn_fimir_alt_occupation_decision_raze_without_occupy	wh_main_sc_nor_fimir
ovn_fimir_alt_occupation_decision_resettle	wh_main_sc_nor_fimir
ovn_fimir_alt_occupation_decision_sack	wh_main_sc_nor_fimir
