attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/ak_vassals_of_monsters_king_data	
chaos_territory	aky_chief_fimir_great_weapons_0
chaos_territory	aky_chief_wolf_werekin_0
chaos_territory	aky_chief_wolf_werekin_1_terrorgheist
disease	aky_chief_fimir_great_weapons_0
disease	aky_chief_wolf_werekin_0
disease	aky_chief_wolf_werekin_1_terrorgheist
mountain	aky_chief_fimir_great_weapons_0
mountain	aky_chief_wolf_werekin_0
mountain	aky_chief_wolf_werekin_1_terrorgheist
non_vampire_territory	aky_chief_fimir_great_weapons_0
non_vampire_territory	aky_chief_wolf_werekin_0
non_vampire_territory	aky_chief_wolf_werekin_1_terrorgheist
nurgle_plague	aky_chief_fimir_great_weapons_0
nurgle_plague	aky_chief_wolf_werekin_0
nurgle_plague	aky_chief_wolf_werekin_1_terrorgheist
snow	aky_chief_fimir_great_weapons_0
snow	aky_chief_wolf_werekin_0
snow	aky_chief_wolf_werekin_1_terrorgheist
