unit_set_to_unit_junctions_tables	0
exclude	unit_caste	unit_category	unit_class	unit_record	unit_set
false				cr_hef_veh_lothern_skycutter	hef_all
false				cr_hef_veh_lothern_skycutter	hef_eagle_chariot_reavers_rank7
false				cr_hef_veh_lothern_skycutter	hef_chariots
false				cr_hef_veh_lothern_skycutter	missile_units
false				cr_hef_veh_lothern_skycutter	mp_cap_missile_cav_chariots
false				cr_hef_veh_lothern_skycutter	mp_cap_ranged_units
false				cr_hef_veh_lothern_skycutter	mp_set_360_degree_fire
false				cr_hef_veh_lothern_skycutter	mp_set_chariots
false				cr_hef_veh_lothern_skycutter	mp_set_hef_veh_lothern_skycutter
false				cr_hef_veh_lothern_skycutter	mp_set_flying_unit
false				cr_hef_veh_lothern_skycutter	wh2_dlc15_hef_martial_passives
false				cr_hef_veh_lothern_skycutter_ror	hef_all
false				cr_hef_veh_lothern_skycutter_ror	hef_eagle_chariot_reavers_rank7
false				cr_hef_veh_lothern_skycutter_ror	hef_chariots
false				cr_hef_veh_lothern_skycutter_ror	missile_units
false				cr_hef_veh_lothern_skycutter_ror	mp_cap_missile_cav_chariots
false				cr_hef_veh_lothern_skycutter_ror	mp_cap_ranged_units
false				cr_hef_veh_lothern_skycutter_ror	mp_set_360_degree_fire
false				cr_hef_veh_lothern_skycutter_ror	mp_set_chariots
false				cr_hef_veh_lothern_skycutter_ror	mp_set_hef_veh_lothern_skycutter_ror
false				cr_hef_veh_lothern_skycutter_ror	mp_set_flying_unit
false				cr_hef_veh_lothern_skycutter_ror	wh2_dlc15_hef_martial_passives
false				cr_hef_veh_lothern_skycutter_ror	wh2_main_ror_units_all
