unit	faction_override	character_level
#campaign_mercenary_unit_character_level_restrictions_tables;1;db/campaign_mercenary_unit_character_level_restrictions_tables/elo_albion		
albion_shieldmaiden_ror	wh2_main_nor_albion	10
albion_bologs_giant_ror	wh2_main_nor_albion	30
elo_fly_infested_rotwood	wh2_main_nor_albion	18
albion_woadraider_sworn_ror	wh2_main_nor_albion	8
alb_cav_noble_first_ror	wh2_main_nor_albion	12
albion_warriors_lugh	wh2_main_nor_albion	5
albion_huntresses_warden_ror	wh2_main_nor_albion	15
albion_centaur_hunter_ror	wh2_main_nor_albion	20
albion_cachtorr_stonethrower	wh2_main_nor_albion	25
albion_highlander_ror	wh2_main_nor_albion	22
