land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
wh_main_unit_passive_unstable	elo_hand_of_nagash
wh_main_unit_passive_unstable_mark_ii	elo_hand_of_nagash
wh_main_unit_passive_unstable_mark_ii	elo_hand_of_nagash_chariot
wh_main_unit_passive_unstable	elo_hand_of_nagash_chariot
wh_main_character_abilities_foe_seeker	elo_hand_of_nagash
wh_main_character_abilities_foe_seeker	elo_hand_of_nagash_chariot
elo_hand_terror_past	elo_hand_of_nagash_chariot
elo_hand_judge_executioner	elo_hand_of_nagash
elo_hand_judge_executioner	elo_hand_of_nagash_chariot
elo_hand_vortex	elo_hand_of_nagash
elo_hand_vortex	elo_hand_of_nagash_chariot
wh_main_character_abilities_undeath_resurgent	elo_hand_of_nagash
wh_main_character_abilities_undeath_resurgent	elo_hand_of_nagash_chariot
