special_ability_to_invalid_target_flags_tables	0
invalid_target	special_ability
unit_is_not_commander_class	elo_special_treat
unit_is_not_large	elo_special_treat
hp_replenish_cap_reached	elo_special_treat
unit_is_not_commander_class	ovn_character_passive_unlikely_friendship
on_a_platform	ovn_spell_desert_sandstorm
on_a_platform	ovn_spell_desert_sandstorm_upgraded
flying_currently	ovn_spell_desert_burning_hands
on_a_platform	ovn_spell_desert_burning_hands
on_a_platform	ovn_spell_desert_burning_hands_upgraded
flying_currently	ovn_spell_desert_burning_hands_upgraded
flying_currently	ovn_spell_desert_quicksand
flying_currently	ovn_spell_desert_quicksand_upgraded
on_a_platform	roy_unit_active_arb_doppelgang
flying_currently	druid_bound_awakening_of_the_wood
hp_replenish_cap_reached	spell_truth_gift_life
hp_replenish_cap_reached	spell_truth_gift_life_upgraded
flying_currently	embodiment_albion
undead_unit	spell_truth_gift_life_upgraded
undead_unit	spell_truth_gift_life
ground_unit	darkened_skies
grounded	darkened_skies
hasnt_casting_ability	elo_staff_of_dural_durak
morale_is_broken_or_lower	ovn_fight_eat
morale_is_broken_or_lower	ovn_take_bite
morale_is_higher_than_broken	ovn_dont_abandon
engaged_in_melee	ammo_supply
climbing_manning_eq_on_platform	elo_liche_land_of_nagash
health_above_20%	elo_liche_land_of_nagash
unit_is_commander_class	elo_liche_land_of_nagash
undead_unit	elo_liche_land_of_nagash
flying_currently	elo_liche_land_of_nagash
climbing_manning_eq_on_platform	elo_liche_call_the_legions
climbing_manning_eq_on_platform	elo_liche_call_the_legions_overcast
living_unit	elo_necromantic_anchor
undead_unit	elo_hand_terror_past
unit_is_not_commander_class	elo_hand_judge_executioner
morale_is_higher_than_wavering	elo_so_hungry
unit_is_commander_class	elo_so_hungry
hasnt_casting_ability	elo_so_hungry
climbing_manning_eq_on_platform	ovn_arb_baz_ei_12_twilight_mirror_shard_ability
climbing_manning_eq_on_platform	fim_skattach_summon_bloodletters
army_is_full	fim_skattach_summon_bloodletters
climbing_manning_eq_on_platform	ribspreader_summon_allies
climbing_manning_eq_on_platform	arb_golden_magus_master_djinn
army_is_full	arb_golden_magus_master_djinn
hp_replenish_cap_reached	hlf_master_chef_earth_blood
hp_replenish_cap_reached	hlf_master_chef_earth_blood_upgraded
unit_is_commander_class	elo_violent_command
on_a_platform	ovn_hlf_mislead
