character_skill_nodes_tables	5
campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
	wh_dlc08_skill_innate_nor_throgg	wh_dlc08_skill_node_set_nor_throgg		6.0	innate_chief_ugma	0.0		0	0	false
	wh_main_skill_chs_lord_battle_dominating_presence	wh_dlc08_skill_node_set_nor_throgg		3.0	wh_dlc08_skill_node_nor_throgg_battle_a_01	0.0		0	0	true
	wh_dlc08_skill_nor_lords_battle_wild_beasts	wh_dlc08_skill_node_set_nor_throgg		3.0	wh_dlc08_skill_node_nor_throgg_battle_a_02	1.0		0	0	true
	elo_skill_bloodlust	wh_dlc08_skill_node_set_nor_throgg		3.0	wh_dlc08_skill_node_nor_throgg_battle_a_03	2.0		0	0	true
	wh2_dlc11_skill_nor_army_buff_hail_of_teeth	wh_dlc08_skill_node_set_nor_throgg		3.0	wh_dlc08_skill_node_nor_throgg_battle_a_05	3.0		0	0	true
	wh2_dlc11_skill_nor_army_buff_monsters_of_the_north	wh_dlc08_skill_node_set_nor_throgg		3.0	wh_dlc08_skill_node_nor_throgg_battle_a_07	4.0		0	0	true
	elo_skill_run_and_shakeoff	wh_dlc08_skill_node_set_nor_throgg		3.0	wh_dlc08_skill_node_nor_throgg_battle_a_06	5.0		0	6	true
	elo_skill_throgg_leader	wh_dlc08_skill_node_set_nor_throgg		4.0	wh2_dlc11_skill_node_nor_throgg_battle_01	0.0		0	0	true
	elo_skill_troll_children_chaos	wh_dlc08_skill_node_set_nor_throgg		4.0	wh2_dlc11_skill_node_nor_throgg_battle_02	1.0		0	0	true
	elo_skill_troll_unnatural_resilience	wh_dlc08_skill_node_set_nor_throgg		4.0	wh2_dlc11_skill_node_nor_throgg_battle_03	2.0		0	0	true
	elo_skill_troll_menace_land	wh_dlc08_skill_node_set_nor_throgg		4.0	wh2_dlc11_skill_node_nor_throgg_battle_04	3.0		0	0	true
	elo_skill_troll_ice_snow	wh_dlc08_skill_node_set_nor_throgg		4.0	wh2_dlc11_skill_node_nor_throgg_battle_05	4.0		0	0	true
	elo_skill_toostupid	wh_dlc08_skill_node_set_nor_throgg		4.0	wh2_dlc11_skill_node_nor_throgg_battle_06	5.0		0	0	true
	wh_main_skill_all_lord_battle_rally	wh_dlc08_skill_node_set_nor_throgg		4.0	wh2_dlc11_skill_node_nor_throgg_battle_08	6.0		0	4	true
	elo_skill_throgg_scourge	wh_dlc08_skill_node_set_nor_throgg		4.0	wh2_dlc11_skill_node_nor_throgg_battle_09	7.0		0	0	true
	elo_skill_throgg_raw_might	wh_dlc08_skill_node_set_nor_throgg		4.0	wh2_dlc11_skill_node_nor_throgg_battle_10	8.0		0	0	true
	elo_skill_mountain_masters	wh_dlc08_skill_node_set_nor_throgg		4.0	wh2_dlc11_skill_node_nor_throgg_battle_11	9.0		0	0	true
	elo_skill_throgg_blight	wh_dlc08_skill_node_set_nor_throgg		4.0	wh2_dlc11_skill_node_nor_throgg_battle_12	10.0		0	0	true
	wh_dlc08_skill_nor_lord_battle_stand_or_die	wh_dlc08_skill_node_set_nor_throgg		4.0	wh2_dlc11_skill_node_nor_throgg_battle_13	11.0		0	1	true
