effect_bonus_value_ids_unit_sets_tables	0
bonus_value_id	effect	unit_set
melee_attack_mod	larenscheld_ghost_matt	elo_larenscheld_afterlife
melee_defence_mod	larenscheld_ghost_mdef	elo_larenscheld_afterlife
damage_vs_infantry	larenscheld_ghost_vsmall	elo_larenscheld_afterlife
unit_damage_resistance_all_mod	larenscheld_ghost_ward	elo_larenscheld_afterlife
damage_vs_large_entities	larenscheld_ghost_vlarge	elo_larenscheld_afterlife
armour_mod	larenscheld_ghost_armour	elo_larenscheld_afterlife
morale	larenscheld_ghost_morale	elo_larenscheld_afterlife
melee_damage_mod_mult	larenscheld_ghost_wps	elo_larenscheld_afterlife
melee_damage_ap_mod_mult	larenscheld_ghost_wps	elo_larenscheld_afterlife
