faction_agent_permitted_subtypes_tables	0
agent	faction	subtype
general	wh2_main_emp_the_moot	ovn_hlf_ll
colonel	wh2_main_emp_the_moot	ovn_hlf_moot_general
champion	wh2_main_emp_the_moot	emp_captain
dignitary	wh2_main_emp_the_moot	emp_warrior_priest
engineer	wh2_main_emp_the_moot	default
minister	wh2_main_emp_the_moot	default
runesmith	wh2_main_emp_the_moot	default
spy	wh2_main_emp_the_moot	emp_witch_hunter
wizard	wh2_main_emp_the_moot	dlc03_emp_amber_wizard
wizard	wh2_main_emp_the_moot	dlc05_emp_grey_wizard
wizard	wh2_main_emp_the_moot	emp_bright_wizard
wizard	wh2_main_emp_the_moot	emp_celestial_wizard
wizard	wh2_main_emp_the_moot	emp_light_wizard
wizard	wh2_main_emp_the_moot	wh2_pro07_emp_amethyst_wizard
general	wh2_main_emp_the_moot	ovn_hlf_moot_general
spy	wh2_main_emp_the_moot	ovn_hlf_fieldwarden
dignitary	wh2_main_emp_the_moot	ovn_hlf_master_chef
champion	wh2_main_emp_the_moot	ovn_hlf_sheriff
general	wh2_main_emp_the_moot	ovn_hlf_glibfoot
