vortex_key	change_max_angle	contact_effect	damage	damage_ap	duration	expansion_speed	goal_radius	infinite_height	move_change_freq	movement_speed	start_radius	ignition_amount	is_magical	composite_scene	detonation_force	launch_source	building_collision	launch_vfx	height_off_ground	delay	num_vortexes	composite_scene_blood	affects_allies	launch_source_offset	composite_scene_group	delay_between_vortexes
#battle_vortexs_tables;16;db/battle_vortexs_tables/ovn																										
reckless_taste	0	wh_main_unit_contact_souped	20	15	20.0	1.0	7.0	false	0.0	0.0	7.0	1.0	false	composite_scene\spells_and_abilities\empty.csc	1.0	target_centre	1.ignore	wh_main_soup_projectile_splash	0.0	0.0	1		false	0.0		1.0
ovn_spell_desert_sandstorm	170		7	4	14.0	22.0	12.0	true	1.0	4.0	12.0	0.0	true	composite_scene\spells_and_abilities\ovn_desert_sandstorm.csc	200.0	target_centre	1.ignore		0.0	0.0	1		true	0.0		1.0
ovn_spell_desert_sandstorm_upgraded	170		7	4	28.0	22.0	12.0	true	1.0	4.0	12.0	0.0	true	composite_scene\spells_and_abilities\ovn_desert_sandstorm.csc	200.0	target_centre	1.ignore		0.0	0.0	1		true	0.0		1.0
ovn_spell_desert_burning_hands	0		20	0	2.0	6.0	12.0	false	0.0	24.0	0.1	1.0	true	composite_scene\spells_and_abilities\wh2_main_abilities_sunfang.csc	100.0	target_near_edge	1.ignore		0.0	0.0	1		true	24.0		1.0
ovn_spell_desert_burning_hands_upgraded	0		20	10	2.0	6.0	12.0	false	0.0	24.0	0.1	1.0	true	composite_scene\spells_and_abilities\wh2_main_abilities_sunfang.csc	100.0	target_near_edge	1.ignore		0.0	0.0	1		true	24.0		1.0
wh2_dlc12_army_abilities_great_invocation_of_djinn	0		24	65	1.7	26.0	10.0	false	0.0	105.0	10.0	0.0	false	composite_scene/spells_and_abilities/invocation_of_djinn_impacts.csc	90.0	target_near_edge	1.ignore		0.0	2.5	1		true	24.0		1.0
elo_hand_vortex	0		30	10	3.0	15.0	30.0	false	0.0	0.0	0.1	0.0	true	composite_scene/spells_and_abilities/black_horror.csc	200.0	target_centre	1.ignore		0.0	1.25	1		false	0.0		1.0
spell_ice_storm_strike	0	wh2_main_spell_dark_magic_chillwind	30	0	2.0	6.0	17.0	false	0.0	24.0	2.0	0.0	true	composite_scene/spells_and_abilities/wind_blast.csc	135.0	target_near_edge	1.ignore		0.0	0.0	1		true	24.0		1.0
spell_ice_storm_strike_upgraded	0	wh2_main_spell_dark_magic_chillwind_upgraded	40	10	2.0	6.0	20.0	false	0.0	24.0	3.0	0.0	true	composite_scene/spells_and_abilities/wind_blast.csc	135.0	target_near_edge	1.ignore		0.0	0.0	1		true	24.0		1.0
spell_ice_chill_blast	5	wh2_main_spell_dark_magic_chillwind	0	50	1.0	12.0	6.0	false	0.1	60.0	6.0	0.0	true	composite_scene\spells_and_abilities\wh2_main_dark_chillwind.csc	125.0	target_near_edge	1.ignore		0.0	0.0	1		true	24.0		1.0
spell_ice_chill_blast_upgraded	5	wh2_main_spell_dark_magic_chillwind_upgraded	0	60	1.0	12.0	6.0	false	0.1	60.0	6.0	0.0	true	composite_scene\spells_and_abilities\wh2_main_dark_chillwind.csc	125.0	target_near_edge	1.ignore		0.0	0.0	1		true	24.0		1.0
spell_ice_tempest	170		7	0	15.0	20.0	30.0	false	1.0	1.0	30.0	0.0	true	composite_scene\spells_and_abilities\wh2_main_high_tempest.csc	10.0	target_centre	1.ignore		20.5	0.0	1		true	0.0		1.0
spell_ice_tempest_upgraded	170		7	0	30.0	20.0	30.0	false	1.0	1.0	30.0	0.0	true	composite_scene\spells_and_abilities\wh2_main_high_tempest.csc	10.0	target_centre	1.ignore		20.5	0.0	1		true	0.0		1.0
grudge_weapon_abilities_hellfire_sword	0		15	10	2.0	15.0	30.0	false	0.0	0.0	1.0	0.0	true	composite_scene/spells_and_abilities/the_burning_head.csc	100.0	target_centre	1.ignore		0.0	0.0	1		false	0.0		1.0
fim_meargh_skattach_staff_balor_ability	120		0	7	13.0	-15.0	15.0	true	1.0	0.0	15.0	0.0	true	composite_scene\spells_and_abilities\skattach_staff.csc	200.0	target_centre	1.ignore		0.0	0.0	1		true	0.0		1.0
hlf_master_chef_flush_soup	0	wh_main_unit_contact_souped	12	0	1.0	15.0	15.0	false	0.0	0.0	0.1	0.0	true	composite_scene\spells_and_abilities\empty.csc	100.0	target_centre	1.ignore	wh_main_soup_projectile_splash	0.0	1.5	1		false	0.0		1.0
